q,u,Nu,xi,beta,ks_p
0.9,0.024693,258,-0.5079503820141782,0.0,
0.9039583333333333,0.025109423958333342,252,-0.5251217469813203,0.0,
0.9079166666666667,0.025672110416666706,241,-0.5835101455553995,0.0,
0.911875,0.026038934374999996,231,-0.6596632751904039,0.0,
0.9158333333333334,0.026663208333333334,221,-0.7240534591681606,0.0,
0.9197916666666667,0.02746943750000004,210,-0.8008133276946974,0.0,
0.9237500000000001,0.028273850000000003,200,-0.8816678692753692,0.0,
0.9277083333333334,0.029554173958333325,190,-0.9335970728326959,0.0,
0.9316666666666666,0.03072496666666667,179,-1.008091453476606,0.0,
0.935625,0.03197130000000008,169,-1.0271505095410896,0.0,
0.9395833333333333,0.033455218749999995,158,-1.0452311564219448,0.0,
0.9435416666666667,0.03477824270833333,148,-1.1155934537020515,0.0,
0.9475,0.036279162500000024,138,-1.1252231317076835,0.0,
0.9514583333333333,0.03712352812499998,127,-1.1370957540471518,0.0,
0.9554166666666667,0.038263287499999986,117,-1.2124366142261813,0.0,
0.959375,0.040344203125,107,-1.049483038403693,0.0,
0.9633333333333334,0.04262508333333337,96,-1.368831538268655,0.0,
0.9672916666666667,0.04462131041666659,86,-1.4037950103805672,0.0,
0.97125,0.046264556249999984,76,-1.341271412866896,0.0,
0.9752083333333333,0.049274144791666676,65,-1.6253325351705232,0.0,
0.9791666666666666,0.0519855416666666,55,-1.8436835867100192,0.0,
0.983125,0.054694634375000065,45,-1.950246215618586,0.0,
0.9870833333333333,0.06006280624999999,34,-1.295928995200873,0.0,
0.9910416666666666,0.06376645937499986,24,-1.903587750582246,0.0,
