Date,FPT_DATA,HPG_DATA,MBB_DATA,MWG_DATA,VIC_DATA
2015-01-06,0.006198,0.009454,0.030201,0.0,0.004198
2015-01-07,0.006256,-0.009454,0.007499,-0.018692,-0.002097
2015-01-08,-0.010416,0.0,0.007443,0.00939,0.006278
2015-01-09,0.008303,0.018819,0.050269,0.018519,-0.004181
2015-01-12,0.00623,0.0,-0.007077,0.009132,-0.010529
2015-01-13,0.0021,0.0,0.02075,0.044452,-0.004193
2015-01-14,-0.0021,0.0,-0.013674,0.034191,0.0
2015-01-15,0.0021,0.0,0.0,0.008368,0.006308
2015-01-16,-0.004204,-0.018819,-0.021382,-0.033902,-0.002115
2015-01-19,-0.010298,-0.009544,0.0,0.017094,0.0
2015-01-20,0.0,0.009544,0.007178,0.016807,-0.004193
2015-01-21,0.008285,0.009454,-0.014408,0.0,0.0
2015-01-22,-0.004134,-0.009454,0.035639,-0.008368,0.0
2015-01-23,0.004134,-0.028638,0.013579,0.008368,0.018903
2015-01-26,0.0,-0.033686,0.0,-0.016807,0.004163
2015-01-27,-0.008285,0.013943,-0.020606,0.008439,-0.004163
2015-01-28,-0.002131,0.0,0.041117,0.024898,-0.008379
2015-01-29,0.0,-0.021837,-0.006791,0.024293,0.0
2015-01-30,-0.008372,-0.033092,-0.041403,-0.008032,0.008379
2015-02-02,-0.002055,-0.006163,-0.014305,-0.03279,-0.006278
2015-02-03,-0.008559,-0.016922,-0.051022,0.0,-0.016886
2015-02-04,-0.002077,-0.03287,0.014693,0.024693,0.0
2015-02-05,0.006415,-0.006519,0.007443,0.024098,-0.002137
2015-02-06,0.002064,0.024305,0.014722,0.007905,0.002137
2015-02-09,-0.002064,-0.026488,0.006935,0.015625,0.008454
2015-02-10,-0.002167,0.03285,0.00723,-0.007782,-0.002119
2015-02-11,0.008443,0.044307,0.007178,0.015504,0.027204
2015-02-12,0.006334,0.008344,-0.007178,0.0,0.03045
2015-02-13,0.004168,0.007991,-0.00723,0.0,0.009963
2015-02-24,0.012402,0.002271,0.021536,0.066939,0.019587
2015-02-25,-0.002104,-0.018607,-0.007127,0.014286,-0.02955
2015-02-26,0.010288,-0.010164,0.014204,0.007067,-0.002005
2015-02-27,-0.004083,-0.017074,-0.014204,-0.057987,-0.008059
