Date,FPT_DATA,HPG_DATA,MBB_DATA,MWG_DATA,VIC_DATA
2015-01-04,10272,3147,2811,10800,19755
2015-01-06,10971,2832,2957,9625,20915
2015-01-07,11590,3025,3103,9188,23447
2015-01-09,10921,3336,3089,8063,22421
2015-01-10,11045,3293,3260,7688,22475
2015-01-12,11937,3250,3046,9438,23123
2015-02-02,10208,3397,2915,12000,20485
2015-02-03,10444,3304,2915,12800,21430
2015-02-04,10358,3154,2832,10700,19884
2015-02-06,10822,2821,2894,9500,20657
2015-02-07,11689,3068,3186,9188,23717
2015-02-10,11045,3315,3239,7750,22475
2015-02-11,12259,3347,3089,9125,24312
2015-02-12,11986,3282,3067,9563,23015
2015-03-02,10121,3340,2770,12000,20142
2015-03-03,10531,3368,2936,12800,22332
2015-03-04,10509,3211,2811,10700,19798
2015-03-06,10946,2746,2874,9313,20743
2015-03-07,11640,3079,3207,9250,24096
2015-03-08,11516,3486,3228,8938,23285
2015-03-09,10822,3229,3046,7938,22205
2015-03-11,13002,3379,3089,9188,24852
2015-03-12,12011,3282,3067,9500,23123
2015-04-02,10100,3232,2811,12300,20142
2015-04-03,10767,3368,2936,12900,22117
2015-04-05,10638,3097,2790,10800,20657
2015-04-06,10996,2757,2874,9375,20958
2015-04-08,11640,3497,3248,8875,23231
2015-04-09,10847,3186,3067,7875,22421
2015-04-11,12878,3336,3046,9125,24636
2015-04-12,11863,3250,3046,9500,22853
2015-05-01,10294,3790,2707,10800,20442
2015-05-02,10165,3211,2832,12600,20099
2015-05-03,10767,3383,2894,12600,21902
2015-05-05,10767,3161,2811,10700,20958
2015-05-06,11095,2714,2894,9625,20958
2015-05-08,11739,3604,3311,9000,23339
2015-05-10,11144,3368,3260,7813,22475
2015-05-11,13249,3325,3046,9375,24582
2015-06-01,10358,3826,2790,10800,20528
2015-06-02,10186,3290,2874,12700,20142
2015-06-03,10767,3375,2915,12300,21430
2015-06-04,10444,3175,2811,10500,19712
2015-06-05,10681,3111,2790,10500,20657
2015-06-07,11763,3154,3207,9250,24096
2015-06-08,11590,3561,3332,8938,23231
2015-06-10,11392,3433,3324,8125,22745
2015-06-11,13002,3325,3046,9125,24366
2015-07-01,10423,3790,2811,10600,20485
2015-07-04,10531,3175,2832,10800,19841
2015-07-05,10746,3132,2790,10600,20872
2015-07-07,11788,3229,3228,9250,23879
2015-07-08,11714,3658,3332,8875,23231
2015-07-09,10798,3132,3089,7625,22475
2015-07-10,11194,3379,3303,8250,22961
2015-07-12,11763,3207,3024,9438,22853
2015-08-01,10315,3790,2832,10700,20614
2015-08-04,10531,3161,2832,10800,19755
2015-08-05,10746,3025,2811,10700,20743
2015-08-06,10971,2789,2915,9563,21044
