Date,Open,High,Low,Close,Volume
07/01/2015,"11,491","11,664","11,417","11,590","8,912,172"
06/30/2015,"11,466","11,565","11,466","11,491","4,596,040"
06/29/2015,"11,590","11,813","11,516","11,590","3,777,635"
06/26/2015,"11,169","11,863","11,169","11,466","17,081,447"
06/25/2015,"11,169","11,194","11,144","11,144","2,362,263"
06/24/2015,"11,293","11,293","11,194","11,194","3,581,029"
06/23/2015,"11,293","11,318","11,243","11,268","2,518,652"
06/22/2015,"11,144","11,342","11,120","11,293","5,143,299"
06/19/2015,"11,021","11,169","11,021","11,095","4,259,076"
06/18/2015,"10,996","11,144","10,996","11,021","5,347,416"
06/17/2015,"10,996","11,045","10,971","10,996","1,951,769"
06/16/2015,"11,144","11,194","11,021","11,021","1,935,657"
06/15/2015,"11,243","11,243","11,095","11,144","1,823,726"
06/12/2015,"11,120","11,219","11,120","11,169","8,682,939"
06/11/2015,"11,045","11,120","11,045","11,095","1,830,268"
06/10/2015,"10,971","11,070","10,921","11,045","1,008,632"
06/09/2015,"10,946","11,194","10,946","10,971","2,498,503"
06/08/2015,"11,144","11,169","10,971","10,971","2,822,344"
06/05/2015,"11,021","11,120","10,946","11,095","2,335,452"
06/04/2015,"10,946","11,021","10,946","10,996","906,553"
06/03/2015,"10,822","11,095","10,798","10,946","2,658,727"
06/02/2015,"10,971","10,971","10,822","10,822","3,937,213"
06/01/2015,"11,120","11,120","10,971","10,971","3,019,233"
05/29/2015,"11,268","11,268","11,120","11,144","1,444,889"
05/28/2015,"11,268","11,367","11,169","11,243","4,677,525"
05/27/2015,"11,414","11,521","11,198","11,306","5,649,924"
05/26/2015,"11,521","11,629","11,414","11,414","4,706,947"
05/25/2015,"11,198","11,629","11,198","11,629","5,545,118"
05/22/2015,"11,306","11,414","11,198","11,198","13,369,226"
05/21/2015,"10,983","11,414","10,875","11,306","47,955,376"
05/20/2015,"10,681","10,983","10,660","10,983","8,780,459"
05/19/2015,"10,488","10,595","10,488","10,595","2,351,593"
05/18/2015,"10,552","10,595","10,509","10,509","2,290,413"
05/15/2015,"10,638","10,681","10,574","10,574","1,127,329"
05/14/2015,"10,552","10,681","10,552","10,617","1,323,335"
05/13/2015,"10,595","10,617","10,488","10,595","2,188,765"
05/12/2015,"10,703","10,703","10,595","10,595","1,175,947"
05/11/2015,"10,767","10,767","10,681","10,703","1,064,826"
05/08/2015,"10,746","10,875","10,746","10,746","1,119,481"
05/07/2015,"10,724","10,875","10,681","10,746","1,223,916"
05/06/2015,"10,767","10,875","10,681","10,681","1,888,045"
05/05/2015,"10,638","10,875","10,595","10,767","2,156,631"
05/04/2015,"11,091","11,198","10,552","10,638","3,799,772"
04/27/2015,"11,091","11,306","10,983","11,091","2,956,864"
04/24/2015,"10,875","10,983","10,767","10,875","1,246,391"
