Date,Open,High,Low,Close,Volume
07/01/2025,"103,478","103,913","102,783","103,304","14,549,240"
06/30/2025,"102,522","103,913","102,261","102,783","9,263,629"
06/27/2025,"101,739","102,870","101,652","102,000","6,868,953"
06/26/2025,"102,609","102,870","101,391","101,739","4,867,703"
06/25/2025,"101,739","103,826","101,739","101,826","8,463,963"
06/24/2025,"101,130","101,739","101,130","101,304","14,906,074"
06/23/2025,"100,435","101,130","99,565","100,783","6,843,688"
06/20/2025,"100,956","101,652","100,696","100,956","6,447,491"
06/19/2025,"101,739","101,826","100,609","100,870","7,751,535"
06/18/2025,"103,304","103,913","101,217","101,739","8,806,911"
06/17/2025,"103,478","103,739","102,783","103,304","6,830,030"
06/16/2025,"100,087","104,174","100,000","103,478","9,955,809"
06/13/2025,"100,870","101,304","99,913","100,348","7,106,647"
06/12/2025,"102,261","102,348","101,304","101,739","4,870,754"
06/11/2025,"100,956","102,783","100,956","102,522","7,551,416"
06/10/2025,"101,739","102,087","100,609","100,609","4,448,156"
06/09/2025,"100,435","101,652","100,000","101,043","5,157,223"
06/06/2025,"101,565","101,565","100,000","100,000","6,567,810"
06/05/2025,"101,826","102,000","101,304","101,565","5,928,480"
06/04/2025,"102,609","102,783","101,304","101,826","8,478,218"
06/03/2025,"101,478","102,609","101,130","102,087","6,193,134"
06/02/2025,"101,304","101,826","100,522","100,956","5,275,592"
05/30/2025,"102,609","102,783","101,304","101,304","4,659,576"
05/29/2025,"103,478","103,478","101,826","101,826","3,386,907"
05/28/2025,"103,652","103,826","102,174","102,956","5,731,260"
05/27/2025,"102,087","103,826","102,087","103,478","6,633,824"
05/26/2025,"101,478","102,435","100,000","102,000","5,434,442"
05/23/2025,"101,478","102,435","100,870","101,826","7,622,515"
05/22/2025,"101,826","102,261","100,522","101,565","10,036,645"
05/21/2025,"104,348","104,348","101,739","102,870","10,316,704"
05/20/2025,"101,565","103,739","101,565","103,652","11,224,425"
05/19/2025,"103,304","104,783","101,391","102,783","12,657,490"
05/16/2025,"108,261","108,435","105,130","105,217","9,245,117"
05/15/2025,"110,000","110,348","107,478","108,696","10,061,771"
05/14/2025,"104,348","109,826","104,348","109,826","15,266,288"
05/13/2025,"104,348","104,609","103,130","103,913","11,830,800"
05/12/2025,"101,739","103,217","101,478","102,870","10,534,000"
05/09/2025,"99,391","101,217","98,696","100,870","10,149,326"
05/08/2025,"96,000","99,652","94,783","99,391","15,656,104"
05/07/2025,"95,304","96,696","94,696","95,391","5,050,303"
05/06/2025,"94,435","96,522","94,435","95,391","7,756,874"
05/05/2025,"95,217","95,391","92,956","94,435","8,785,527"
04/29/2025,"95,304","96,087","94,870","95,130","7,141,387"
04/28/2025,"97,391","97,739","94,956","95,217","4,744,901"
04/25/2025,"97,391","97,739","95,826","97,739","7,721,217"
04/24/2025,"96,956","98,870","96,174","97,391","9,498,887"
04/23/2025,"97,130","97,130","93,652","96,000","8,367,172"
04/22/2025,"96,522","96,696","90,435","96,000","11,778,648"
04/21/2025,"97,391","97,826","95,652","97,130","5,016,646"
04/18/2025,"96,087","100,000","96,087","97,043","9,697,377"
04/17/2025,"91,304","96,783","91,217","95,130","13,957,783"
04/16/2025,"99,565","100,783","93,826","93,826","21,726,034"
04/15/2025,"100,956","101,739","98,870","100,870","9,026,812"
04/14/2025,"104,348","104,348","99,130","103,043","10,797,698"
04/11/2025,"101,739","103,043","99,391","103,043","22,150,730"
04/10/2025,"97,913","97,913","97,913","97,913","2,346,231"
04/09/2025,"85,043","93,913","85,043","91,565","21,147,701"
04/08/2025,"92,174","93,913","91,391","91,391","19,078,158"
04/04/2025,"91,826","99,043","91,826","98,261","25,126,931"
04/03/2025,"99,739","102,261","98,696","98,696","13,311,138"
04/02/2025,"105,391","106,348","105,043","106,087","4,508,231"
04/01/2025,"106,087","106,261","103,304","104,783","9,550,439"
03/31/2025,"107,304","107,304","105,217","105,217","6,347,199"
03/28/2025,"109,652","109,913","107,826","107,826","3,481,051"
03/27/2025,"106,087","110,000","105,304","109,739","8,308,062"
03/26/2025,"110,000","110,000","106,696","106,956","13,132,083"
03/25/2025,"112,870","112,956","110,000","110,000","6,473,582"
03/24/2025,"111,739","112,435","110,696","112,174","5,853,731"
03/21/2025,"108,696","112,174","108,696","111,304","7,388,522"
03/20/2025,"108,348","110,261","108,261","108,696","10,014,892"
03/19/2025,"113,130","113,565","107,391","108,348","22,154,065"
03/18/2025,"113,130","114,956","113,043","113,043","6,472,777"
03/17/2025,"114,435","114,870","112,696","113,043","8,766,452"
03/14/2025,"117,913","118,522","113,739","114,261","18,688,654"
03/13/2025,"118,348","120,000","118,348","118,696","4,266,731"
03/12/2025,"119,739","120,609","118,174","118,174","7,319,752"
03/11/2025,"120,000","120,435","119,130","119,565","7,089,062"
03/10/2025,"123,043","123,043","121,043","121,130","6,534,072"
03/07/2025,"123,217","124,087","122,696","122,956","3,951,401"
03/06/2025,"121,304","124,783","121,304","123,130","7,487,882"
03/05/2025,"121,739","121,826","120,956","120,956","3,278,766"
03/04/2025,"121,304","122,261","121,130","121,739","4,628,285"
03/03/2025,"122,174","122,956","122,000","122,174","3,373,986"
02/28/2025,"121,826","122,696","120,870","122,000","7,984,682"
02/27/2025,"123,478","123,652","122,348","122,870","4,509,956"
02/26/2025,"120,956","123,304","120,783","123,304","4,569,526"
02/25/2025,"122,087","122,087","120,174","120,870","8,434,562"
02/24/2025,"123,478","123,478","121,304","122,174","8,645,588"
02/21/2025,"124,174","124,261","123,043","123,478","6,132,491"
02/20/2025,"125,391","125,739","124,348","124,348","3,893,211"
02/19/2025,"125,130","126,000","124,435","125,217","3,990,272"
02/18/2025,"125,043","125,565","124,435","125,130","1,913,715"
02/17/2025,"126,087","126,087","124,696","124,870","3,238,746"
02/14/2025,"125,217","126,087","124,870","126,000","3,739,466"
02/13/2025,"126,087","126,087","124,087","124,435","3,735,316"
02/12/2025,"126,609","126,696","125,478","126,087","2,340,769"
02/11/2025,"123,652","126,435","121,826","126,435","8,465,612"
02/10/2025,"126,522","126,522","123,478","123,478","8,912,042"
02/07/2025,"127,391","127,565","126,783","127,043","5,020,786"
02/06/2025,"127,826","128,087","126,609","127,391","4,283,292"
02/05/2025,"127,739","128,261","126,783","127,217","6,145,716"
02/04/2025,"126,956","127,826","126,348","127,130","8,338,307"
02/03/2025,"128,696","129,739","126,348","126,522","14,792,684"
01/24/2025,"134,000","134,348","133,391","133,391","4,543,313"
01/23/2025,"130,522","135,652","130,435","134,174","9,727,968"
01/22/2025,"130,087","130,956","129,739","130,174","4,676,593"
01/21/2025,"130,870","131,652","129,565","130,348","3,997,172"
01/20/2025,"129,565","130,783","128,870","130,435","2,642,368"
01/17/2025,"127,478","130,522","126,956","129,565","4,485,006"
01/16/2025,"127,130","127,826","126,261","127,391","4,435,210"
01/15/2025,"126,956","127,391","125,913","126,522","3,968,424"
01/14/2025,"128,348","128,696","126,174","126,174","4,950,180"
01/13/2025,"127,043","129,130","125,826","128,348","5,930,214"
01/10/2025,"129,391","129,652","128,000","128,087","3,148,359"
01/09/2025,"128,956","129,739","128,696","129,391","2,259,062"
01/08/2025,"130,435","130,435","128,783","128,956","4,461,888"
01/07/2025,"130,000","131,565","130,000","130,522","4,661,301"
01/06/2025,"129,652","130,609","129,043","129,826","3,987,171"
01/03/2025,"131,565","131,565","129,565","129,565","7,413,021"
01/02/2025,"132,609","132,783","130,522","132,174","7,119,423"
12/31/2024,"131,043","133,826","130,696","132,609","5,523,684"
12/30/2024,"129,913","131,130","129,130","130,870","3,674,718"
12/27/2024,"130,000","130,348","129,304","130,087","5,303,462"
12/26/2024,"131,304","131,652","129,652","130,261","3,384,799"
12/25/2024,"130,956","131,478","130,783","131,130","5,368,321"
12/24/2024,"130,435","131,130","129,913","130,783","4,643,590"
12/23/2024,"130,000","130,348","129,304","130,261","4,957,551"
12/20/2024,"129,130","130,956","128,956","130,000","5,446,174"
