Date,Open,High,Low,Close,Volume
07/03/2023,"19,848","20,038","19,621","19,848","22,871,779"
06/30/2023,"19,470","19,848","19,432","19,811","43,518,567"
06/29/2023,"20,189","20,227","19,545","19,545","52,103,978"
06/28/2023,"19,697","20,227","19,621","20,152","42,858,960"
06/27/2023,"19,205","19,545","19,015","19,545","26,463,500"
06/26/2023,"19,242","19,318","18,712","19,091","26,926,950"
06/23/2023,"18,826","19,356","18,750","19,242","39,123,808"
06/22/2023,"18,712","18,902","18,447","18,826","30,407,926"
06/21/2023,"17,955","18,674","17,803","18,636","50,148,929"
06/20/2023,"17,689","17,917","17,652","17,917","19,282,962"
06/19/2023,"17,765","17,803","17,652","17,689","17,636,393"
06/16/2023,"17,614","18,030","17,538","17,765","43,657,033"
06/15/2023,"17,424","17,614","17,424","17,538","23,344,735"
06/14/2023,"17,765","17,765","17,500","17,500","33,892,067"
06/13/2023,"17,424","17,765","17,348","17,727","49,037,219"
06/12/2023,"17,500","17,538","17,045","17,386","29,329,351"
06/09/2023,"17,273","17,348","17,045","17,348","32,017,006"
06/08/2023,"17,197","17,538","17,197","17,273","56,408,762"
06/07/2023,"16,667","17,273","16,667","17,121","73,279,296"
06/06/2023,"16,439","16,553","16,326","16,477","15,575,872"
06/05/2023,"16,515","16,705","16,364","16,402","26,524,485"
06/02/2023,"16,288","16,515","16,250","16,364","25,101,787"
06/01/2023,"16,023","16,212","15,947","16,212","14,303,788"
05/31/2023,"16,212","16,250","16,023","16,061","17,906,729"
05/30/2023,"16,288","16,364","16,098","16,174","17,764,433"
05/29/2023,"16,136","16,250","16,061","16,250","14,641,180"
05/26/2023,"16,136","16,212","15,795","15,985","21,236,430"
05/25/2023,"16,136","16,250","16,061","16,061","17,861,585"
05/24/2023,"16,591","16,591","16,136","16,136","26,822,540"
05/23/2023,"16,629","16,705","16,364","16,439","18,338,897"
05/22/2023,"16,515","16,742","16,477","16,591","19,690,974"
05/19/2023,"16,667","16,742","16,402","16,515","17,113,053"
05/18/2023,"16,591","16,818","16,515","16,629","24,605,730"
05/17/2023,"16,667","16,742","16,477","16,515","38,400,263"
05/16/2023,"16,742","16,894","16,591","16,667","24,426,344"
05/15/2023,"17,008","17,121","16,742","16,742","23,592,499"
05/12/2023,"16,477","17,045","16,364","16,932","59,664,414"
05/11/2023,"16,515","16,629","16,364","16,477","18,136,937"
05/10/2023,"16,515","16,591","16,402","16,439","11,660,894"
05/09/2023,"16,364","16,780","16,364","16,515","29,586,226"
05/08/2023,"16,326","16,477","16,250","16,364","15,112,156"
05/05/2023,"16,136","16,439","16,061","16,250","16,930,721"
05/04/2023,"16,250","16,364","16,061","16,136","21,967,974"
04/28/2023,"16,439","16,515","16,212","16,402","22,032,918"
04/27/2023,"16,667","16,667","16,364","16,439","25,345,725"
04/26/2023,"15,947","16,667","15,833","16,667","57,208,352"
04/25/2023,"15,758","16,098","15,682","15,947","27,767,791"
04/24/2023,"15,682","15,758","15,568","15,644","21,595,866"
04/21/2023,"15,758","15,795","15,682","15,682","17,708,663"
04/20/2023,"15,758","15,833","15,720","15,758","8,767,047"
04/19/2023,"15,947","15,947","15,758","15,758","13,832,416"
04/18/2023,"15,833","15,909","15,758","15,871","15,274,648"
04/17/2023,"15,606","15,833","15,606","15,795","12,243,664"
04/14/2023,"15,568","15,795","15,530","15,644","18,226,433"
04/13/2023,"15,758","15,758","15,417","15,492","19,901,778"
04/12/2023,"15,833","15,833","15,644","15,720","14,240,428"
04/11/2023,"15,682","15,795","15,606","15,758","19,359,403"
04/10/2023,"16,098","16,174","15,606","15,682","35,436,333"
04/07/2023,"16,288","16,364","15,985","16,061","24,503,167"
04/06/2023,"16,326","16,591","16,212","16,288","36,813,359"
04/05/2023,"15,985","16,288","15,871","16,288","33,689,972"
04/04/2023,"16,023","16,061","15,871","15,985","26,221,016"
04/03/2023,"15,947","15,985","15,795","15,909","28,209,068"
03/31/2023,"15,758","15,833","15,417","15,758","31,376,806"
03/30/2023,"15,909","16,023","15,720","15,758","27,853,460"
03/29/2023,"15,682","15,985","15,682","15,758","24,101,676"
03/28/2023,"15,833","15,909","15,682","15,682","16,501,457"
03/27/2023,"15,455","15,833","15,417","15,758","27,170,625"
03/24/2023,"15,492","15,530","15,379","15,455","20,261,478"
03/23/2023,"15,303","15,455","15,189","15,455","18,770,009"
03/22/2023,"15,568","15,606","15,265","15,379","17,077,769"
03/21/2023,"15,303","15,568","15,038","15,492","26,179,830"
03/20/2023,"15,455","15,606","15,152","15,152","30,345,357"
03/17/2023,"15,947","15,947","15,455","15,455","45,163,018"
03/16/2023,"15,909","15,985","15,530","15,795","39,926,579"
03/15/2023,"15,758","16,136","15,606","16,136","36,242,590"
03/14/2023,"15,947","15,985","15,303","15,379","40,808,734"
03/13/2023,"15,947","16,212","15,833","15,985","27,812,276"
03/10/2023,"16,023","16,250","15,909","16,136","29,710,966"
03/09/2023,"16,061","16,326","16,061","16,061","31,113,201"
03/08/2023,"15,833","16,061","15,758","16,061","21,397,734"
03/07/2023,"15,606","16,174","15,568","15,985","39,047,854"
03/06/2023,"15,644","15,795","15,455","15,455","15,496,540"
03/03/2023,"15,758","15,985","15,417","15,417","28,528,508"
03/02/2023,"15,909","15,985","15,606","15,606","12,715,960"
03/01/2023,"15,152","15,833","15,000","15,833","25,681,135"
02/28/2023,"15,492","15,530","15,076","15,152","21,555,342"
02/27/2023,"15,455","15,568","15,114","15,227","41,429,664"
02/24/2023,"16,288","16,288","15,644","15,758","20,010,678"
02/23/2023,"16,023","16,288","15,455","16,288","44,336,038"
02/22/2023,"16,212","16,742","16,061","16,061","45,272,976"
02/21/2023,"16,705","16,894","16,364","16,364","28,299,356"
02/20/2023,"15,909","16,591","15,909","16,591","33,979,052"
02/17/2023,"16,136","16,174","15,909","15,909","18,075,689"
02/16/2023,"15,871","16,212","15,606","16,136","31,567,677"
02/15/2023,"15,606","15,947","15,341","15,758","26,500,590"
02/14/2023,"15,379","15,833","15,341","15,606","22,828,879"
02/13/2023,"15,455","15,455","14,962","15,303","24,871,184"
02/10/2023,"15,682","15,758","15,265","15,530","21,109,446"
02/09/2023,"15,909","16,098","15,606","15,606","21,704,238"
02/08/2023,"14,962","15,985","14,962","15,795","44,632,513"
02/07/2023,"16,023","16,061","14,924","14,962","57,258,451"
02/06/2023,"15,985","16,023","15,568","16,023","30,442,246"
02/03/2023,"16,250","16,326","15,909","15,985","27,741,525"
02/02/2023,"16,061","16,439","15,985","16,136","33,901,042"
02/01/2023,"16,818","17,159","15,909","15,985","68,515,145"
01/31/2023,"16,591","16,742","16,439","16,742","37,489,199"
01/30/2023,"16,439","16,818","16,174","16,477","56,154,533"
01/27/2023,"15,909","16,326","15,795","16,288","35,078,218"
01/19/2023,"16,364","16,553","15,795","16,023","60,033,880"
01/18/2023,"16,667","16,705","16,326","16,439","34,914,273"
01/17/2023,"15,492","16,402","15,492","16,402","55,505,619"
01/16/2023,"15,152","15,644","15,114","15,341","32,856,684"
01/13/2023,"15,341","15,417","15,076","15,114","27,683,971"
01/12/2023,"15,227","15,341","15,076","15,189","30,618,991"
01/11/2023,"15,152","15,568","15,076","15,303","33,936,287"
01/10/2023,"14,848","15,227","14,545","15,000","35,997,862"
01/09/2023,"15,000","15,227","14,773","14,848","21,364,206"
01/06/2023,"14,924","15,227","14,545","14,697","26,274,740"
01/05/2023,"14,697","15,152","14,508","15,000","28,673,311"
01/04/2023,"14,735","15,000","14,621","14,697","27,028,328"
01/03/2023,"13,864","14,583","13,788","14,583","38,030,003"
12/30/2022,"13,712","13,977","13,561","13,636","20,021,502"
12/29/2022,"13,864","14,015","13,523","13,636","23,060,144"
12/28/2022,"13,939","14,015","13,598","13,788","20,837,790"
12/27/2022,"12,955","13,826","12,955","13,826","32,194,809"
12/26/2022,"13,864","13,864","12,955","12,955","48,607,559"
12/23/2022,"14,280","14,318","13,712","13,902","36,141,716"
12/22/2022,"14,470","14,848","14,167","14,318","25,535,670"
12/21/2022,"14,697","14,735","13,712","14,318","36,679,113"
12/20/2022,"15,000","15,227","14,205","14,394","60,475,555"
12/19/2022,"15,606","16,098","15,152","15,152","66,178,482"
12/16/2022,"14,545","15,492","14,356","15,455","73,106,638"
12/15/2022,"14,470","14,886","14,470","14,659","27,992,060"
12/14/2022,"14,659","14,848","14,394","14,545","45,474,410"
12/13/2022,"14,091","14,394","13,826","14,394","32,516,889"
12/12/2022,"14,545","14,811","14,091","14,091","47,298,914"
12/09/2022,"14,318","14,735","14,015","14,545","45,995,150"
12/08/2022,"14,318","14,659","14,015","14,318","40,871,964"
12/07/2022,"13,636","14,508","13,409","13,826","45,856,416"
12/06/2022,"15,076","15,114","14,091","14,091","87,887,337"
12/05/2022,"15,000","15,455","14,773","15,152","66,229,436"
12/02/2022,"13,636","14,735","13,485","14,735","60,301,712"
12/01/2022,"14,205","14,886","13,636","13,788","88,271,725"
11/30/2022,"13,295","13,939","13,030","13,939","76,427,099"
11/29/2022,"12,576","13,220","12,386","13,182","86,830,420"
11/28/2022,"11,818","12,386","11,818","12,386","77,776,928"
11/25/2022,"11,061","11,591","10,871","11,591","35,024,758"
11/24/2022,"10,379","10,909","10,303","10,871","41,072,604"
11/23/2022,"11,136","11,250","10,455","10,455","40,106,231"
11/22/2022,"11,098","11,705","10,947","11,212","57,217,659"
11/21/2022,"11,515","11,553","11,174","11,326","41,718,480"
11/18/2022,"11,061","11,515","10,795","11,439","131,549,650"
11/17/2022,"10,530","10,795","10,455","10,795","44,798,307"
11/16/2022,"9,318","10,114","8,939","10,114","73,765,978"
11/15/2022,"9,091","9,508","9,091","9,470","58,630,194"
11/14/2022,"9,205","9,432","8,977","9,242","79,556,557"
11/11/2022,"9,318","9,583","9,091","9,318","84,267,639"
11/10/2022,"9,621","9,697","9,167","9,167","105,361,636"
11/09/2022,"10,000","10,303","9,811","9,848","43,277,667"
11/08/2022,"9,924","10,379","9,848","9,962","61,081,435"
11/07/2022,"11,023","11,212","10,379","10,379","52,738,110"
11/04/2022,"11,364","11,477","10,985","11,098","57,906,437"
11/03/2022,"11,553","11,705","11,439","11,515","27,230,816"
11/02/2022,"11,364","11,894","11,364","11,629","52,955,641"
11/01/2022,"11,932","12,121","11,212","11,364","107,647,351"
10/31/2022,"11,856","12,121","11,856","11,856","87,583,613"
10/28/2022,"13,182","13,371","12,727","12,727","41,454,480"
10/27/2022,"12,841","13,333","12,803","13,182","28,204,185"
10/26/2022,"12,879","13,182","12,765","12,803","15,869,705"
10/25/2022,"12,424","13,258","12,159","12,955","41,170,152"
10/24/2022,"12,879","12,917","12,273","12,424","37,152,468"
10/21/2022,"13,864","13,864","12,803","12,803","59,604,220"
10/20/2022,"13,902","14,091","13,674","13,712","34,363,570"
10/19/2022,"14,280","14,280","13,902","13,939","26,711,000"
10/18/2022,"14,773","14,924","14,167","14,280","37,628,723"
10/17/2022,"14,583","14,659","14,318","14,583","30,138,051"
10/14/2022,"14,962","15,076","14,621","14,735","31,136,961"
10/13/2022,"14,242","14,848","14,053","14,773","32,291,301"
10/12/2022,"13,485","14,167","13,258","14,167","38,275,654"
10/11/2022,"13,939","13,939","13,144","13,258","35,322,813"
10/10/2022,"13,106","14,091","13,030","13,902","33,239,327"
10/07/2022,"13,371","13,485","12,917","13,333","49,146,651"
10/06/2022,"14,621","14,621","13,636","13,636","49,646,272"
10/05/2022,"14,545","14,659","14,280","14,545","33,881,110"
10/04/2022,"15,227","15,341","14,129","14,280","42,392,340"
10/03/2022,"16,061","16,061","14,962","14,962","45,056,368"
09/30/2022,"16,288","16,402","15,682","16,061","30,847,749"
09/29/2022,"16,780","16,894","16,402","16,402","13,637,320"
09/28/2022,"16,818","17,008","16,364","16,515","19,271,478"
09/27/2022,"17,008","17,045","16,742","16,970","12,660,916"
09/26/2022,"17,008","17,121","16,553","16,970","34,857,778"
09/23/2022,"17,462","17,576","17,197","17,197","20,284,578"
09/22/2022,"17,197","17,500","17,159","17,424","16,050,413"
09/21/2022,"17,348","17,386","17,197","17,348","13,327,120"
09/20/2022,"17,273","17,424","17,121","17,424","17,174,525"
09/19/2022,"17,500","17,614","17,008","17,159","36,272,422"
09/16/2022,"17,727","17,879","17,424","17,424","36,314,133"
09/15/2022,"18,106","18,106","17,765","17,879","18,124,133"
09/14/2022,"17,614","18,030","17,614","17,955","38,533,848"
09/13/2022,"17,992","18,182","17,803","17,955","22,954,939"
09/12/2022,"18,106","18,409","18,030","18,030","34,967,998"
09/09/2022,"17,689","18,030","17,500","18,030","35,003,902"
09/08/2022,"17,576","17,765","17,348","17,500","27,146,468"
09/07/2022,"17,841","18,030","17,424","17,424","33,654,070"
09/06/2022,"18,182","18,333","17,841","17,841","20,503,434"
09/05/2022,"17,462","18,258","17,462","18,106","34,692,382"
08/31/2022,"17,424","17,538","17,235","17,424","20,931,510"
08/30/2022,"17,500","17,652","17,386","17,462","20,346,090"
08/29/2022,"17,462","17,614","17,159","17,424","43,282,287"
08/26/2022,"18,182","18,182","17,803","17,803","21,740,144"
08/25/2022,"17,992","18,220","17,879","18,068","24,498,019"
08/24/2022,"17,917","17,992","17,803","17,803","16,137,533"
08/23/2022,"17,500","17,917","17,500","17,917","22,027,374"
08/22/2022,"17,917","17,992","17,538","17,689","31,810,292"
08/19/2022,"18,258","18,371","17,917","17,992","42,579,515"
08/18/2022,"18,258","18,447","18,220","18,295","31,373,901"
08/17/2022,"18,636","18,674","18,295","18,409","36,691,707"
08/16/2022,"18,182","18,712","18,182","18,598","88,387,617"
08/15/2022,"18,258","18,333","18,030","18,182","43,841,698"
08/12/2022,"17,652","18,220","17,614","18,144","44,836,850"
08/11/2022,"18,220","18,295","17,652","17,727","45,811,536"
08/10/2022,"18,182","18,485","18,030","18,030","39,764,219"
08/09/2022,"18,106","18,409","17,917","18,258","67,975,137"
08/08/2022,"17,727","18,106","17,652","17,879","40,082,734"
08/05/2022,"17,727","17,917","17,538","17,652","56,148,423"
08/04/2022,"18,106","18,144","17,803","17,917","39,760,919"
08/03/2022,"17,197","18,068","17,121","17,992","77,808,742"
08/02/2022,"17,348","17,538","17,197","17,348","36,603,478"
08/01/2022,"16,439","17,311","16,364","17,273","50,349,960"
07/29/2022,"16,364","16,629","16,288","16,288","27,307,640"
07/28/2022,"16,288","16,439","16,098","16,212","31,033,869"
07/27/2022,"16,250","16,288","15,947","16,098","37,905,104"
07/26/2022,"16,515","16,667","16,364","16,402","34,877,313"
07/25/2022,"16,818","16,894","16,515","16,591","27,544,580"
07/22/2022,"17,197","17,273","16,818","16,818","21,967,709"
07/21/2022,"16,932","17,424","16,894","17,197","30,417,297"
07/20/2022,"16,932","17,235","16,894","16,932","23,422,087"
07/19/2022,"17,045","17,121","16,742","16,780","21,485,514"
07/18/2022,"17,576","17,652","17,045","17,121","26,627,048"
07/15/2022,"16,932","17,803","16,932","17,576","63,369,124"
07/14/2022,"16,818","16,970","16,742","16,818","16,526,801"
07/13/2022,"16,818","17,273","16,780","16,894","23,569,529"
07/12/2022,"16,705","17,045","16,629","16,894","16,224,785"
07/11/2022,"16,970","17,159","16,629","16,705","19,768,854"
07/08/2022,"16,667","17,083","16,667","17,008","25,746,475"
07/07/2022,"16,250","16,477","16,212","16,477","17,592,965"
07/06/2022,"16,439","16,856","16,136","16,250","24,068,359"
07/05/2022,"16,742","16,932","16,477","16,591","20,583,294"
07/04/2022,"17,159","17,159","16,667","16,667","16,636,229"
