Date,Open,High,Low,Close,Volume
07/01/2025,"22,750","22,900","22,600","22,650","22,257,820"
06/30/2025,"22,900","22,950","22,700","22,700","19,980,850"
06/27/2025,"22,950","22,950","22,750","22,850","18,571,949"
06/26/2025,"23,050","23,150","22,750","22,800","41,374,930"
06/25/2025,"22,583","22,875","22,458","22,667","54,800,908"
06/24/2025,"22,542","22,667","22,458","22,500","33,469,825"
06/23/2025,"22,375","22,500","22,167","22,375","29,678,638"
06/20/2025,"22,500","22,583","22,375","22,500","28,745,268"
06/19/2025,"22,625","22,667","22,333","22,417","28,035,299"
06/18/2025,"22,417","22,667","22,333","22,625","39,927,793"
06/17/2025,"22,417","22,583","22,292","22,375","32,089,739"
06/16/2025,"21,958","22,500","21,958","22,292","38,380,453"
06/13/2025,"22,167","22,292","21,917","22,000","46,525,771"
06/12/2025,"21,792","22,583","21,792","22,333","66,522,864"
06/11/2025,"21,917","21,958","21,667","21,750","20,633,228"
06/10/2025,"22,083","22,375","21,833","21,833","39,293,595"
06/09/2025,"21,750","22,000","21,625","21,917","30,311,892"
06/06/2025,"21,708","22,083","21,583","21,708","50,723,874"
06/05/2025,"21,667","21,708","21,417","21,458","23,411,348"
06/04/2025,"21,750","22,000","21,625","21,625","31,210,596"
06/03/2025,"21,500","21,833","21,458","21,667","37,874,810"
06/02/2025,"21,333","21,375","21,125","21,292","26,820,634"
05/30/2025,"21,375","22,208","21,375","21,458","78,017,454"
05/29/2025,"21,417","21,500","21,250","21,292","19,853,384"
05/28/2025,"21,458","21,583","21,292","21,333","18,746,671"
05/27/2025,"21,292","21,792","21,292","21,292","32,169,373"
05/26/2025,"21,375","21,375","20,875","21,292","32,944,739"
05/23/2025,"21,458","21,542","21,292","21,333","13,316,501"
05/22/2025,"21,458","21,625","21,292","21,375","31,866,973"
05/21/2025,"21,458","21,750","21,375","21,458","25,594,545"
05/20/2025,"21,333","21,500","21,333","21,375","24,890,506"
05/19/2025,"21,458","21,625","21,292","21,375","19,410,715"
05/16/2025,"21,792","21,833","21,500","21,500","22,555,162"
05/15/2025,"21,833","21,833","21,542","21,792","27,167,626"
05/14/2025,"21,583","22,125","21,542","21,792","53,784,837"
05/13/2025,"21,333","21,667","21,333","21,500","25,565,037"
05/12/2025,"21,292","21,458","20,625","21,167","79,088,017"
05/09/2025,"21,417","21,458","21,250","21,375","13,229,669"
05/08/2025,"21,167","21,542","21,083","21,417","24,690,189"
05/07/2025,"21,125","21,250","21,125","21,167","14,223,161"
05/06/2025,"21,458","21,708","21,208","21,208","25,431,849"
05/05/2025,"21,375","21,458","21,125","21,417","15,520,866"
04/29/2025,"21,375","21,417","21,167","21,250","33,499,933"
04/28/2025,"21,417","21,417","21,125","21,375","16,420,878"
04/25/2025,"21,208","21,417","21,042","21,417","35,440,814"
04/24/2025,"21,417","21,417","21,000","21,333","25,920,083"
04/23/2025,"21,250","21,417","21,125","21,292","26,921,171"
04/22/2025,"20,667","20,917","19,500","20,875","57,296,422"
04/21/2025,"21,208","21,208","20,792","20,792","22,891,448"
04/18/2025,"21,375","21,458","21,208","21,208","25,298,048"
04/17/2025,"21,000","21,333","20,667","21,250","29,629,211"
04/16/2025,"21,583","21,667","20,875","21,250","31,303,812"
04/15/2025,"20,958","21,792","20,875","21,542","60,896,184"
04/14/2025,"20,667","21,458","20,625","21,125","66,254,763"
04/11/2025,"20,167","20,250","19,583","20,250","92,252,913"
04/10/2025,"18,958","18,958","18,958","18,958","4,170,732"
04/09/2025,"17,750","18,583","17,750","17,750","93,063,636"
04/08/2025,"19,583","20,000","19,083","19,083","43,943,294"
04/04/2025,"19,667","20,708","19,667","20,500","88,062,756"
04/03/2025,"21,500","22,042","21,125","21,125","97,725,394"
04/02/2025,"22,625","22,833","22,583","22,708","20,246,888"
04/01/2025,"22,333","22,542","22,292","22,500","17,302,327"
03/31/2025,"22,542","22,583","22,292","22,292","32,927,413"
03/28/2025,"22,875","22,917","22,583","22,625","20,966,888"
03/27/2025,"23,083","23,083","22,875","22,917","25,887,249"
03/26/2025,"22,667","23,292","22,625","22,958","53,076,020"
03/25/2025,"22,708","22,833","22,583","22,667","38,593,215"
03/24/2025,"22,625","22,708","22,417","22,625","23,387,770"
03/21/2025,"22,583","22,708","22,542","22,625","26,663,302"
