Date,Open,High,Low,Close,Volume
07/01/2022,"11,337","11,648","11,194","11,552","17,265,471"
06/30/2022,"11,815","11,886","11,552","11,552","18,334,259"
06/29/2022,"11,719","11,982","11,624","11,791","20,863,780"
06/28/2022,"11,314","12,030","11,290","11,791","31,011,191"
06/27/2022,"11,361","11,552","11,266","11,504","14,981,257"
06/24/2022,"11,552","11,552","11,314","11,314","8,071,004"
06/23/2022,"11,099","11,481","11,099","11,481","12,148,612"
06/22/2022,"10,812","11,409","10,812","11,194","24,829,943"
06/21/2022,"10,741","10,932","10,526","10,717","33,937,265"
06/20/2022,"11,123","11,290","10,430","10,741","20,526,930"
06/17/2022,"11,290","11,504","11,075","11,123","64,904,047"
06/16/2022,"11,934","12,125","11,886","11,886","16,658,805"
06/15/2022,"12,053","12,173","11,552","11,886","38,367,854"
06/14/2022,"11,934","12,364","11,934","12,173","18,738,145"
06/13/2022,"12,793","12,793","12,220","12,244","38,221,008"
06/10/2022,"13,127","13,366","13,104","13,127","13,228,712"
06/09/2022,"13,438","13,438","13,127","13,271","11,605,839"
06/08/2022,"12,984","13,414","12,865","13,342","25,412,728"
06/07/2022,"13,032","13,032","12,602","12,865","13,070,133"
06/06/2022,"13,080","13,151","12,841","13,008","14,542,178"
06/03/2022,"13,008","13,080","12,722","13,080","10,829,072"
06/02/2022,"13,151","13,295","12,984","12,984","14,659,698"
06/01/2022,"13,175","13,366","13,151","13,175","9,553,314"
05/31/2022,"13,366","13,366","13,127","13,247","11,192,527"
05/30/2022,"13,486","13,486","13,318","13,414","17,426,774"
05/27/2022,"13,223","13,438","13,151","13,366","17,833,383"
05/26/2022,"13,509","13,509","13,199","13,199","16,111,071"
05/25/2022,"12,889","13,486","12,889","13,390","23,270,124"
05/24/2022,"12,650","12,817","12,483","12,817","16,395,762"
05/23/2022,"12,889","12,937","12,459","12,555","20,571,340"
05/20/2022,"12,793","13,008","12,698","12,889","12,151,755"
05/19/2022,"12,507","12,913","12,411","12,769","13,229,550"
05/18/2022,"12,793","13,127","12,602","12,722","18,405,274"
05/17/2022,"11,767","12,555","11,719","12,555","25,677,306"
05/16/2022,"12,030","12,101","11,695","11,743","15,776,458"
05/13/2022,"12,411","12,507","11,504","11,504","43,891,321"
05/12/2022,"12,889","13,032","12,244","12,244","29,800,791"
05/11/2022,"12,913","13,127","12,746","13,127","14,002,547"
05/10/2022,"12,316","12,913","11,982","12,913","22,921,124"
05/09/2022,"13,175","13,271","12,483","12,507","37,597,579"
05/06/2022,"13,605","13,748","13,366","13,366","18,543,324"
05/05/2022,"13,987","13,987","13,486","13,844","14,526,467"
05/04/2022,"14,225","14,249","13,796","13,796","16,496,455"
04/29/2022,"14,011","14,273","13,987","14,225","17,883,240"
04/28/2022,"14,225","14,273","14,034","14,058","14,104,775"
04/27/2022,"13,963","14,202","13,772","14,178","15,442,134"
04/26/2022,"13,366","14,058","12,889","14,011","30,964,266"
04/25/2022,"14,416","14,560","13,318","13,414","39,741,085"
04/22/2022,"14,464","14,703","14,225","14,321","23,993,263"
04/21/2022,"14,082","14,583","13,891","14,321","26,405,054"
04/20/2022,"14,034","14,345","13,915","14,082","27,311,282"
04/19/2022,"14,560","14,727","13,987","13,987","27,549,256"
04/18/2022,"14,941","14,941","14,392","14,464","39,151,534"
04/15/2022,"15,419","15,443","14,941","14,989","36,511,617"
04/14/2022,"15,610","15,705","15,419","15,419","16,563,071"
04/13/2022,"15,395","15,658","15,371","15,562","28,827,109"
04/12/2022,"15,848","15,872","15,371","15,395","33,154,318"
04/08/2022,"16,111","16,230","15,801","15,848","23,941,940"
04/07/2022,"16,016","16,421","15,992","16,087","50,497,610"
04/06/2022,"15,586","15,992","15,514","15,920","35,293,467"
04/05/2022,"15,729","15,848","15,586","15,586","20,925,578"
04/04/2022,"16,111","16,111","15,753","15,753","25,584,086"
04/01/2022,"15,753","15,992","15,658","15,896","34,065,469"
03/31/2022,"15,586","15,801","15,586","15,729","40,229,960"
03/30/2022,"15,228","15,944","15,180","15,586","67,674,682"
03/29/2022,"15,109","15,276","15,037","15,276","18,592,164"
03/28/2022,"15,180","15,252","14,846","15,037","33,395,329"
03/25/2022,"15,299","15,371","15,180","15,180","19,662,032"
03/24/2022,"15,299","15,443","15,276","15,299","21,042,679"
03/23/2022,"15,514","15,610","15,347","15,347","23,398,119"
03/22/2022,"15,371","15,610","15,371","15,490","24,074,962"
03/21/2022,"15,419","15,419","15,180","15,371","24,913,736"
03/18/2022,"15,514","15,538","15,276","15,323","29,692,279"
03/17/2022,"15,490","15,634","15,371","15,395","23,471,648"
03/16/2022,"15,347","15,467","15,228","15,323","23,517,315"
03/15/2022,"15,228","15,228","14,965","15,085","18,259,473"
03/14/2022,"15,037","15,276","14,894","15,109","37,373,852"
03/11/2022,"14,822","15,132","14,822","15,013","23,629,599"
03/10/2022,"14,941","15,156","14,798","14,822","25,858,300"
03/09/2022,"14,798","14,941","14,440","14,679","50,642,368"
03/08/2022,"15,180","15,276","14,798","14,798","59,223,885"
03/07/2022,"15,371","15,586","15,276","15,371","42,142,550"
03/04/2022,"15,753","15,896","15,562","15,705","36,022,472"
03/03/2022,"15,705","15,896","15,085","15,801","63,836,304"
03/02/2022,"16,135","16,135","15,467","15,514","109,446,237"
03/01/2022,"16,517","16,660","16,159","16,230","36,512,872"
02/28/2022,"16,254","16,612","16,230","16,421","27,504,426"
02/25/2022,"16,445","16,660","16,278","16,278","35,319,231"
02/24/2022,"16,230","16,612","15,848","16,230","63,292,274"
02/23/2022,"16,517","16,660","16,302","16,397","36,520,204"
02/22/2022,"15,514","16,421","15,323","16,421","80,169,785"
02/21/2022,"15,562","15,705","15,204","15,586","39,421,351"
02/18/2022,"15,705","15,777","15,538","15,586","32,644,538"
02/17/2022,"15,586","15,848","15,562","15,848","19,628,243"
02/16/2022,"15,729","15,777","15,395","15,586","20,535,967"
02/15/2022,"15,347","15,705","15,252","15,610","43,448,684"
02/14/2022,"15,992","16,135","15,276","15,276","59,718,894"
02/11/2022,"16,111","16,302","16,087","16,206","30,025,149"
02/10/2022,"15,848","16,326","15,777","16,111","50,101,478"
02/09/2022,"16,135","16,302","15,896","15,896","46,651,482"
02/08/2022,"16,039","16,302","15,896","16,135","39,829,424"
