Date,Open,High,Low,Close,Volume
07/01/2025,"19,621","19,811","19,545","19,697","35,000,068"
06/30/2025,"19,508","19,621","19,470","19,545","16,153,059"
06/27/2025,"19,621","19,773","19,470","19,470","21,384,337"
06/26/2025,"19,470","19,621","19,318","19,621","46,274,829"
06/25/2025,"19,697","19,735","19,394","19,394","30,448,511"
06/24/2025,"19,773","20,000","19,621","19,621","36,826,258"
06/23/2025,"19,356","19,773","19,318","19,621","33,592,183"
06/20/2025,"19,091","19,811","19,053","19,545","68,841,263"
06/19/2025,"19,091","19,091","18,902","19,015","20,722,436"
06/18/2025,"19,015","19,167","18,864","18,977","35,624,057"
06/17/2025,"19,129","19,242","18,826","18,939","30,384,530"
06/16/2025,"18,826","19,091","18,788","19,015","30,285,714"
06/13/2025,"18,523","18,939","18,485","18,826","65,200,798"
06/12/2025,"18,409","18,712","18,409","18,712","29,779,943"
06/11/2025,"18,333","18,409","18,295","18,371","8,220,924"
06/10/2025,"18,409","18,598","18,258","18,333","17,166,951"
06/09/2025,"18,295","18,409","18,258","18,371","17,435,848"
06/06/2025,"18,447","18,485","18,295","18,295","24,448,516"
06/05/2025,"18,598","18,674","18,485","18,485","13,402,497"
06/04/2025,"18,750","18,788","18,561","18,598","18,811,684"
06/03/2025,"18,674","18,788","18,674","18,712","25,487,318"
06/02/2025,"18,523","18,712","18,295","18,636","25,581,922"
05/30/2025,"18,674","18,674","18,447","18,447","23,580,275"
05/29/2025,"18,750","18,750","18,523","18,561","16,990,137"
05/28/2025,"18,826","18,826","18,598","18,636","18,996,642"
05/27/2025,"18,939","18,939","18,674","18,750","23,529,442"
05/26/2025,"18,712","18,788","18,182","18,788","27,385,477"
05/23/2025,"18,864","18,864","18,598","18,674","22,446,555"
05/22/2025,"19,205","19,205","18,561","18,674","34,769,741"
05/21/2025,"19,091","19,356","18,826","18,977","42,347,131"
05/20/2025,"18,712","19,015","18,561","18,826","41,990,889"
05/19/2025,"18,561","18,864","18,447","18,636","34,072,278"
05/16/2025,"19,053","19,053","18,674","18,674","39,876,224"
05/15/2025,"18,636","19,280","18,636","18,977","95,172,095"
05/14/2025,"18,561","18,712","18,447","18,561","39,200,358"
05/13/2025,"18,220","18,561","18,182","18,561","54,344,687"
05/12/2025,"17,727","18,106","17,689","18,030","50,034,771"
05/09/2025,"17,955","17,955","17,727","17,803","19,862,443"
05/08/2025,"17,652","17,879","17,576","17,841","27,763,141"
05/07/2025,"17,841","17,879","17,576","17,614","28,969,528"
05/06/2025,"17,879","17,955","17,803","17,841","30,109,415"
05/05/2025,"17,955","17,992","17,765","17,841","25,855,809"
04/29/2025,"17,955","17,992","17,841","17,841","17,592,691"
04/28/2025,"18,030","18,068","17,841","17,955","30,453,051"
04/25/2025,"17,803","17,992","17,652","17,841","54,000,126"
04/24/2025,"17,727","17,727","17,462","17,614","23,890,805"
04/23/2025,"17,765","17,955","17,500","17,727","44,695,981"
04/22/2025,"17,311","17,538","16,326","17,500","59,934,582"
04/21/2025,"17,803","17,803","17,273","17,386","49,029,802"
04/18/2025,"17,500","17,765","17,462","17,614","42,587,015"
04/17/2025,"17,197","17,424","17,121","17,424","28,503,411"
04/16/2025,"17,424","17,614","17,235","17,348","28,943,631"
04/15/2025,"17,424","17,727","17,348","17,424","38,956,225"
04/14/2025,"17,803","17,841","17,538","17,765","41,899,559"
04/11/2025,"17,045","17,803","16,970","17,765","104,254,094"
04/10/2025,"16,705","16,705","16,705","16,705","5,039,976"
04/09/2025,"14,735","16,212","14,735","15,644","80,816,418"
04/08/2025,"16,023","16,591","15,833","15,833","89,448,597"
04/04/2025,"15,985","17,008","15,985","17,008","99,525,030"
04/03/2025,"17,879","17,955","17,159","17,159","115,966,059"
04/02/2025,"18,636","18,674","18,447","18,447","13,937,744"
04/01/2025,"18,295","18,636","18,182","18,636","20,648,635"
03/31/2025,"18,068","18,258","18,030","18,258","25,552,684"
03/28/2025,"18,182","18,258","18,030","18,106","21,455,273"
03/27/2025,"18,182","18,258","18,106","18,106","17,194,051"
03/26/2025,"18,295","18,485","18,182","18,182","24,126,030"
03/25/2025,"18,561","18,598","18,295","18,333","22,009,541"
03/24/2025,"18,409","18,485","18,144","18,485","24,245,621"
03/21/2025,"18,409","18,561","18,333","18,409","23,981,093"
03/20/2025,"18,182","18,447","18,106","18,371","29,650,094"
03/19/2025,"18,106","18,182","17,955","18,068","29,340,688"
03/18/2025,"18,485","18,485","18,106","18,106","37,154,002"
03/17/2025,"18,485","18,523","18,258","18,409","35,912,569"
03/14/2025,"18,371","18,523","18,295","18,409","26,444,885"
03/13/2025,"18,674","18,712","18,333","18,409","33,850,214"
03/12/2025,"18,864","18,939","18,636","18,636","44,296,030"
03/11/2025,"18,333","18,788","18,295","18,788","37,361,547"
03/10/2025,"18,750","18,864","18,523","18,561","25,699,930"
03/07/2025,"18,371","18,864","18,258","18,561","67,294,399"
03/06/2025,"17,955","18,258","17,803","18,258","40,325,103"
03/05/2025,"17,727","18,258","17,652","17,841","44,737,586"
03/04/2025,"17,462","17,879","17,311","17,727","45,285,237"
03/03/2025,"17,424","17,500","17,386","17,500","17,450,395"
02/28/2025,"17,500","17,538","17,386","17,424","16,186,904"
02/27/2025,"17,576","17,614","17,386","17,576","17,894,060"
02/26/2025,"17,803","17,841","17,576","17,576","11,573,640"
02/25/2025,"17,462","17,841","17,462","17,727","51,000,040"
02/24/2025,"17,273","17,462","17,273","17,424","18,135,752"
02/21/2025,"17,348","17,538","17,273","17,348","27,921,186"
02/20/2025,"17,424","17,424","17,311","17,311","15,340,785"
02/19/2025,"17,273","17,386","17,197","17,311","13,663,197"
02/18/2025,"17,159","17,386","17,121","17,197","16,497,500"
02/17/2025,"17,348","17,348","17,121","17,159","12,281,346"
02/14/2025,"17,424","17,424","17,273","17,311","10,987,138"
02/13/2025,"17,311","17,348","17,121","17,348","9,976,694"
02/12/2025,"17,424","17,462","17,197","17,197","11,036,645"
02/11/2025,"17,424","17,424","17,311","17,424","10,275,283"
02/10/2025,"17,197","17,614","17,008","17,348","26,214,545"
02/07/2025,"17,197","17,424","16,970","17,235","18,794,035"
02/06/2025,"17,083","17,386","17,083","17,121","14,662,450"
02/05/2025,"17,045","17,083","16,894","17,045","34,550,329"
02/04/2025,"16,818","17,121","16,742","17,008","16,411,951"
02/03/2025,"16,705","16,856","16,629","16,705","12,977,055"
01/24/2025,"16,705","17,008","16,705","16,970","13,928,860"
01/23/2025,"16,591","16,856","16,515","16,818","20,116,424"
01/22/2025,"16,629","16,629","16,477","16,515","10,780,608"
01/21/2025,"16,629","16,705","16,477","16,553","22,180,905"
01/20/2025,"16,288","16,629","16,288","16,553","12,440,547"
01/17/2025,"16,288","16,288","16,174","16,288","10,514,350"
01/16/2025,"16,288","16,364","16,174","16,212","13,070,405"
01/15/2025,"16,250","16,288","16,136","16,174","13,091,212"
01/14/2025,"16,212","16,288","16,023","16,136","10,475,545"
01/13/2025,"16,023","16,288","15,871","16,288","11,908,452"
01/10/2025,"16,250","16,288","16,023","16,023","13,748,482"
01/09/2025,"16,364","16,439","16,250","16,288","9,928,158"
01/08/2025,"16,250","16,439","16,250","16,364","11,109,917"
01/07/2025,"16,439","16,439","16,061","16,402","19,217,043"
01/06/2025,"16,271","16,403","16,074","16,074","22,976,173"
01/03/2025,"16,601","16,601","16,271","16,271","17,048,065"
01/02/2025,"16,568","16,765","16,502","16,601","20,435,391"
12/31/2024,"16,337","16,535","16,337","16,535","17,868,878"
12/30/2024,"16,568","16,568","16,337","16,337","17,601,194"
12/27/2024,"16,502","16,667","16,469","16,502","28,080,021"
12/26/2024,"16,140","16,403","16,107","16,403","32,259,230"
12/25/2024,"15,777","16,337","15,777","16,107","24,014,637"
12/24/2024,"15,843","15,843","15,711","15,744","5,802,629"
12/23/2024,"15,810","15,909","15,810","15,843","11,359,334"
12/20/2024,"15,711","15,810","15,679","15,810","36,253,375"
12/19/2024,"15,679","15,843","15,679","15,711","15,980,471"
12/18/2024,"15,909","15,942","15,843","15,942","6,346,352"
12/17/2024,"15,843","15,942","15,843","15,909","6,331,795"
12/16/2024,"15,975","16,041","15,810","15,876","9,709,715"
12/13/2024,"15,975","16,041","15,942","15,975","7,132,121"
12/12/2024,"16,074","16,173","16,008","16,008","8,839,262"
12/11/2024,"15,975","16,074","15,876","16,008","10,515,128"
12/10/2024,"16,074","16,140","15,975","15,975","10,425,201"
12/09/2024,"16,074","16,173","15,975","16,074","10,085,037"
12/06/2024,"16,206","16,206","16,041","16,041","24,165,223"
12/05/2024,"15,711","16,206","15,679","16,173","16,219,525"
12/04/2024,"15,744","15,810","15,679","15,711","13,024,744"
12/03/2024,"15,909","15,942","15,777","15,777","11,260,371"
12/02/2024,"15,942","16,008","15,843","15,909","9,474,504"
11/29/2024,"15,843","15,909","15,777","15,909","10,289,307"
11/28/2024,"15,942","15,975","15,810","15,810","13,530,085"
11/27/2024,"15,810","15,975","15,744","15,876","6,685,728"
11/26/2024,"15,843","15,942","15,810","15,876","8,147,562"
11/25/2024,"15,810","15,843","15,744","15,777","7,840,775"
11/22/2024,"15,777","15,942","15,744","15,810","13,976,227"
11/21/2024,"15,547","15,810","15,415","15,810","9,988,746"
11/20/2024,"15,250","15,613","15,250","15,514","17,244,008"
11/19/2024,"15,481","15,547","15,250","15,250","11,949,543"
11/18/2024,"15,481","15,580","15,217","15,415","24,799,564"
11/15/2024,"15,613","15,679","15,481","15,481","30,465,197"
11/14/2024,"15,876","15,876","15,679","15,679","32,149,720"
11/13/2024,"15,876","15,975","15,711","15,909","21,113,253"
11/12/2024,"16,008","16,041","15,876","15,876","13,838,725"
11/11/2024,"16,173","16,206","15,777","16,008","26,295,096"
11/08/2024,"16,370","16,403","16,074","16,173","12,681,523"
11/07/2024,"16,469","16,469","16,337","16,337","18,196,720"
11/06/2024,"16,238","16,403","16,140","16,370","13,024,287"
11/05/2024,"16,173","16,206","16,074","16,107","14,652,145"
11/04/2024,"16,271","16,304","16,074","16,107","18,825,476"
11/01/2024,"16,436","16,502","16,206","16,206","17,950,652"
10/31/2024,"16,469","16,601","16,337","16,502","15,502,119"
10/30/2024,"16,469","16,568","16,271","16,469","22,037,260"
10/29/2024,"16,403","16,535","16,370","16,469","12,977,685"
10/28/2024,"16,304","16,370","16,238","16,337","6,039,061"
10/25/2024,"16,337","16,337","16,173","16,238","16,229,392"
10/24/2024,"16,634","16,733","16,271","16,271","29,216,487"
10/23/2024,"16,634","16,700","16,568","16,634","17,759,840"
10/22/2024,"16,798","16,897","16,568","16,634","30,856,686"
10/21/2024,"16,963","17,062","16,831","16,831","14,285,140"
10/18/2024,"17,128","17,260","16,930","16,963","28,049,602"
10/17/2024,"16,831","17,062","16,700","17,062","18,099,872"
10/16/2024,"16,897","16,897","16,733","16,798","16,439,028"
10/15/2024,"17,095","17,194","16,897","16,897","23,397,540"
10/14/2024,"16,897","17,194","16,798","17,029","23,639,509"
10/11/2024,"16,798","16,864","16,700","16,831","11,264,320"
10/10/2024,"16,930","17,095","16,798","16,798","19,283,001"
10/09/2024,"16,667","16,897","16,634","16,864","22,218,813"
10/08/2024,"16,601","16,798","16,535","16,601","18,798,000"
10/07/2024,"16,667","16,733","16,469","16,601","15,462,651"
10/04/2024,"16,798","16,798","16,535","16,535","28,947,197"
10/03/2024,"16,897","17,194","16,733","16,798","38,457,920"
10/02/2024,"16,831","17,029","16,798","16,930","30,618,817"
10/01/2024,"16,963","17,227","16,897","16,897","28,490,279"
09/30/2024,"16,765","16,996","16,765","16,930","22,532,431"
09/27/2024,"16,930","17,227","16,864","16,930","28,092,713"
09/26/2024,"16,963","17,095","16,798","16,930","40,645,054"
09/25/2024,"16,733","17,062","16,700","16,963","51,897,535"
09/24/2024,"16,403","16,667","16,337","16,634","26,974,706"
09/23/2024,"16,337","16,733","16,337","16,337","35,564,763"
09/20/2024,"16,173","16,469","16,173","16,304","50,630,764"
09/19/2024,"16,107","16,173","16,041","16,074","13,284,626"
09/18/2024,"16,008","16,206","15,909","16,074","25,642,599"
09/17/2024,"15,810","15,975","15,679","15,975","13,183,688"
09/16/2024,"15,744","15,975","15,711","15,744","13,183,982"
09/13/2024,"15,843","15,843","15,711","15,744","7,711,895"
09/12/2024,"15,810","15,909","15,777","15,810","12,740,877"
09/11/2024,"15,646","15,843","15,481","15,744","15,790,235"
09/10/2024,"15,843","15,942","15,580","15,646","22,402,339"
09/09/2024,"15,744","15,777","15,646","15,777","15,536,425"
09/06/2024,"15,744","15,843","15,646","15,810","89,647,316"
09/05/2024,"16,074","16,271","15,744","15,777","108,435,275"
09/04/2024,"16,107","16,206","16,041","16,074","27,201,497"
08/30/2024,"16,370","16,469","16,337","16,370","13,463,598"
08/29/2024,"16,238","16,601","16,238","16,370","34,546,490"
08/28/2024,"16,107","16,271","16,041","16,238","26,058,288"
08/27/2024,"16,041","16,140","16,008","16,074","17,303,225"
08/26/2024,"16,271","16,337","16,008","16,107","17,736,918"
08/23/2024,"16,074","16,238","16,008","16,173","23,710,096"
08/22/2024,"16,370","16,403","16,074","16,074","19,878,057"
08/21/2024,"15,975","16,337","15,843","16,304","33,348,638"
08/20/2024,"15,876","16,140","15,843","15,975","25,046,998"
08/19/2024,"15,876","15,975","15,777","15,843","15,119,888"
08/16/2024,"15,415","15,876","15,382","15,843","32,135,299"
08/15/2024,"15,415","15,514","15,316","15,316","18,098,748"
08/14/2024,"15,646","15,646","15,415","15,415","10,602,622"
08/13/2024,"15,580","15,646","15,415","15,547","11,515,851"
08/12/2024,"15,481","15,613","15,382","15,613","16,290,720"
08/09/2024,"15,283","15,481","15,283","15,448","13,002,580"
08/08/2024,"15,349","15,481","15,152","15,184","17,420,719"
08/07/2024,"15,415","15,481","15,283","15,382","15,582,876"
08/06/2024,"15,283","15,481","15,152","15,415","29,137,249"
08/05/2024,"15,184","15,514","15,020","15,119","47,394,691"
08/02/2024,"15,152","15,679","15,152","15,679","37,344,135"
08/01/2024,"16,074","16,173","15,316","15,415","52,563,023"
07/31/2024,"16,140","16,403","15,942","16,074","31,075,433"
07/30/2024,"15,876","16,140","15,711","16,140","29,709,837"
07/29/2024,"16,107","16,107","15,876","15,876","16,156,073"
07/26/2024,"15,744","16,041","15,711","16,008","18,459,486"
07/25/2024,"15,711","15,876","15,481","15,777","35,353,916"
07/24/2024,"15,679","15,975","15,580","15,777","41,489,973"
07/23/2024,"16,700","16,700","15,679","15,744","76,880,925"
07/22/2024,"16,667","16,963","16,238","16,601","59,607,759"
07/19/2024,"16,403","16,897","16,337","16,733","75,910,776"
07/18/2024,"16,206","16,469","15,876","16,403","61,088,870"
07/17/2024,"15,679","16,568","15,514","16,140","110,944,398"
07/16/2024,"15,217","15,777","15,184","15,514","40,532,722"
07/15/2024,"15,184","15,283","15,119","15,184","7,789,161"
07/12/2024,"15,119","15,283","15,086","15,152","12,936,699"
07/11/2024,"15,448","15,481","15,217","15,217","13,219,958"
07/10/2024,"15,250","15,547","15,250","15,349","36,754,116"
07/09/2024,"15,020","15,250","14,921","15,250","21,679,316"
07/08/2024,"15,020","15,119","14,888","14,954","16,311,668"
07/05/2024,"15,020","15,053","14,888","15,020","12,038,954"
07/04/2024,"15,086","15,152","14,888","15,020","10,874,496"
07/03/2024,"15,020","15,119","14,888","15,086","16,845,989"
07/02/2024,"14,822","15,053","14,789","14,954","17,507,548"
07/01/2024,"14,657","14,789","14,592","14,789","7,851,854"
