Date,Open,High,Low,Close,Volume
07/01/2019,"31,167","31,600","31,100","31,567","2,814,419"
06/28/2019,"30,400","30,933","30,267","30,933","2,144,759"
06/27/2019,"30,700","30,933","30,267","30,333","2,283,509"
06/26/2019,"30,600","31,100","30,400","30,933","2,284,379"
06/25/2019,"30,467","30,600","30,200","30,600","1,467,179"
06/24/2019,"30,633","30,833","30,233","30,467","2,322,179"
06/21/2019,"30,267","30,633","30,267","30,333","1,550,639"
06/20/2019,"29,667","30,533","29,600","30,233","3,440,758"
06/19/2019,"29,667","29,833","29,467","29,533","1,135,529"
06/18/2019,"29,300","29,467","29,233","29,433","1,229,459"
06/17/2019,"29,667","29,733","29,167","29,267","4,796,869"
06/14/2019,"29,933","29,933","29,633","29,700","1,937,789"
06/13/2019,"30,267","30,267","29,733","29,800","2,288,579"
06/12/2019,"30,000","30,333","29,833","30,233","2,845,979"
06/11/2019,"29,667","30,167","29,633","29,867","3,151,738"
06/10/2019,"29,467","29,833","29,433","29,533","2,439,008"
06/07/2019,"28,900","29,433","28,900","29,433","4,556,608"
06/06/2019,"29,000","29,000","28,667","28,833","1,150,289"
06/05/2019,"28,867","29,100","28,833","28,867","872,070"
06/04/2019,"28,467","28,667","28,200","28,667","672,240"
06/03/2019,"28,667","28,667","28,033","28,333","1,648,619"
05/31/2019,"29,200","29,233","28,667","28,700","1,879,709"
05/30/2019,"29,167","29,333","29,033","29,200","1,182,959"
05/29/2019,"29,400","29,500","29,133","29,167","2,731,979"
05/28/2019,"29,167","29,467","29,167","29,400","1,535,609"
05/27/2019,"29,500","29,600","29,100","29,233","1,618,229"
05/24/2019,"29,067","29,767","28,967","29,567","3,520,738"
05/23/2019,"29,333","29,333","29,000","29,200","1,727,369"
05/22/2019,"29,500","29,833","29,400","29,500","2,174,420"
05/21/2019,"29,467","29,700","29,300","29,400","2,830,499"
05/20/2019,"28,900","29,533","28,900","29,433","2,697,029"
05/17/2019,"28,667","29,000","28,667","28,833","895,590"
05/16/2019,"29,000","29,133","28,667","28,667","2,446,058"
05/15/2019,"28,633","29,100","28,600","29,000","3,756,208"
05/14/2019,"28,333","28,567","28,200","28,500","1,533,959"
05/13/2019,"28,300","28,467","28,000","28,400","798,420"
05/10/2019,"28,033","28,367","28,000","28,333","1,031,100"
05/09/2019,"27,800","28,167","27,767","28,033","1,143,299"
05/08/2019,"27,667","27,967","27,500","27,833","1,018,680"
05/07/2019,"28,033","28,167","27,833","27,967","877,530"
05/06/2019,"28,333","28,333","27,833","27,933","1,218,599"
05/03/2019,"28,667","28,667","28,367","28,633","1,150,829"
05/02/2019,"28,433","28,800","28,433","28,667","1,674,809"
04/26/2019,"27,833","28,333","27,767","28,300","2,188,919"
04/25/2019,"27,767","28,000","27,667","27,833","819,030"
04/24/2019,"27,600","27,800","27,567","27,667","955,080"
04/23/2019,"27,667","27,733","27,467","27,600","615,900"
04/22/2019,"27,533","27,800","27,500","27,667","1,078,979"
04/19/2019,"27,167","27,433","27,133","27,400","728,250"
04/18/2019,"27,267","27,333","26,867","27,133","1,135,139"
04/17/2019,"27,233","27,367","27,133","27,267","1,029,990"
04/16/2019,"27,267","27,400","27,133","27,233","1,361,999"
04/12/2019,"27,500","27,600","27,300","27,500","1,049,159"
04/11/2019,"27,500","27,700","27,400","27,500","667,740"
04/10/2019,"27,800","27,867","27,400","27,600","1,205,579"
04/09/2019,"28,000","28,033","27,733","27,900","827,910"
04/08/2019,"28,167","28,167","27,833","28,000","709,740"
04/05/2019,"27,533","28,100","27,533","28,033","1,063,679"
04/04/2019,"27,933","28,100","27,800","27,833","952,500"
04/03/2019,"28,167","28,167","27,900","27,933","706,620"
04/02/2019,"28,300","28,367","28,033","28,033","862,980"
04/01/2019,"28,267","28,367","28,000","28,033","1,453,919"
03/29/2019,"28,200","28,400","28,167","28,267","856,650"
03/28/2019,"28,167","28,233","28,033","28,133","1,058,519"
03/27/2019,"28,167","28,300","28,133","28,133","623,430"
03/26/2019,"28,333","28,400","27,967","28,033","1,765,559"
03/25/2019,"28,833","28,833","27,933","27,933","3,490,198"
03/22/2019,"29,300","29,367","29,000","29,067","2,625,269"
03/21/2019,"29,500","29,700","29,300","29,300","2,118,059"
03/20/2019,"29,500","29,767","29,333","29,500","1,294,799"
03/19/2019,"29,767","30,333","29,633","29,700","3,484,468"
03/18/2019,"29,533","29,767","29,500","29,733","2,168,579"
03/15/2019,"29,667","29,767","29,433","29,533","1,370,459"
03/14/2019,"29,833","29,833","29,500","29,667","1,590,809"
03/13/2019,"29,500","30,000","29,500","29,800","3,237,358"
03/12/2019,"29,333","29,500","29,267","29,500","2,002,109"
03/11/2019,"29,100","29,300","28,967","29,133","1,074,209"
03/08/2019,"29,000","29,133","28,800","28,867","2,735,978"
03/07/2019,"29,500","29,500","29,200","29,233","1,375,379"
03/06/2019,"29,333","29,433","29,100","29,367","1,609,289"
03/05/2019,"29,667","30,000","29,267","29,267","2,119,739"
03/04/2019,"29,500","29,800","29,100","29,667","2,308,259"
03/01/2019,"29,200","29,300","29,000","29,167","1,293,569"
02/28/2019,"29,400","29,567","28,933","28,933","3,481,348"
02/27/2019,"29,633","29,800","29,267","29,400","1,727,129"
02/26/2019,"29,933","29,933","29,400","29,500","2,393,189"
02/25/2019,"30,000","30,400","29,833","29,867","3,821,578"
02/22/2019,"29,233","29,900","29,033","29,667","3,570,088"
02/21/2019,"29,033","29,300","29,033","29,300","2,345,459"
02/20/2019,"29,000","29,200","28,967","29,033","1,778,669"
02/19/2019,"28,700","29,233","28,700","29,000","5,883,747"
02/18/2019,"28,833","28,867","28,633","28,700","1,365,449"
02/15/2019,"28,567","28,767","28,433","28,700","2,153,219"
02/14/2019,"28,733","28,800","28,500","28,567","2,006,519"
02/13/2019,"28,200","28,733","28,200","28,733","3,637,618"
02/12/2019,"28,200","28,433","28,200","28,200","1,030,350"
02/11/2019,"27,833","28,200","27,833","28,200","1,066,379"
02/01/2019,"27,900","28,067","27,633","27,667","1,261,079"
01/31/2019,"28,000","28,167","27,667","27,667","618,090"
01/30/2019,"28,167","28,267","27,867","27,867","5,829,327"
01/29/2019,"27,867","28,500","27,633","28,500","1,385,519"
01/28/2019,"27,733","28,067","27,733","27,867","810,750"
01/25/2019,"27,867","27,967","27,733","27,733","670,530"
01/24/2019,"27,867","27,967","27,767","27,867","443,310"
01/23/2019,"27,933","28,000","27,833","27,867","529,710"
01/22/2019,"27,933","28,167","27,900","27,933","754,770"
01/21/2019,"28,133","28,200","27,833","27,900","7,363,172"
01/18/2019,"28,400","28,500","28,133","28,133","2,205,626"
01/17/2019,"28,667","28,667","28,400","28,433","1,371,389"
01/16/2019,"28,500","28,933","28,433","28,433","26,060,418"
01/15/2019,"28,333","28,567","28,100","28,567","2,613,029"
01/14/2019,"28,333","28,333","28,000","28,333","1,363,739"
01/11/2019,"28,667","28,667","28,333","28,333","1,082,339"
01/10/2019,"28,467","28,667","28,233","28,667","1,020,870"
01/09/2019,"28,000","28,567","28,000","28,467","1,322,849"
01/08/2019,"28,333","28,333","28,000","28,000","666,540"
01/07/2019,"28,000","28,500","27,933","28,333","3,968,995"
01/04/2019,"27,667","27,900","27,333","27,867","1,296,509"
01/03/2019,"28,500","28,567","27,667","27,667","2,109,179"
01/02/2019,"29,000","29,000","28,500","28,500","1,241,189"
12/28/2018,"28,800","29,000","28,200","29,000","3,418,768"
