Date,Open,High,Low,Close,Volume
07/01/2025,"65,500","65,800","64,300","64,500","9,684,966"
06/30/2025,"66,200","66,300","65,400","65,500","5,935,893"
06/27/2025,"64,700","66,300","64,600","65,800","17,324,980"
06/26/2025,"65,000","65,300","64,200","64,500","5,321,601"
06/25/2025,"64,800","65,200","64,500","65,000","7,169,460"
06/24/2025,"65,800","65,900","64,900","64,900","8,764,586"
06/23/2025,"63,900","65,000","63,200","65,000","10,937,280"
06/20/2025,"64,000","64,600","63,700","64,100","5,952,907"
06/19/2025,"63,600","64,300","63,100","64,000","7,901,958"
06/18/2025,"64,300","65,300","63,600","63,700","9,062,244"
06/17/2025,"64,400","64,500","63,800","64,400","5,887,714"
06/16/2025,"63,000","64,300","62,600","64,300","8,489,630"
06/13/2025,"62,700","63,400","61,800","63,200","9,353,885"
06/12/2025,"62,500","63,500","62,100","63,500","10,336,110"
06/11/2025,"61,500","62,200","61,500","61,900","5,097,023"
06/10/2025,"61,000","62,900","60,600","61,500","10,762,800"
06/09/2025,"60,500","60,700","59,900","60,500","7,788,988"
06/06/2025,"61,200","61,300","60,400","60,500","6,620,070"
06/05/2025,"61,000","62,200","61,000","61,700","5,917,039"
06/04/2025,"62,800","62,800","61,100","61,300","8,071,268"
06/03/2025,"61,000","62,800","61,000","62,400","7,650,658"
06/02/2025,"62,000","62,000","60,000","61,000","17,391,900"
05/30/2025,"63,800","63,900","62,100","62,100","13,559,480"
05/29/2025,"64,500","64,600","63,400","64,300","7,908,641"
05/28/2025,"64,300","65,500","64,000","64,400","11,026,640"
05/27/2025,"64,800","64,900","63,500","64,300","8,578,670"
05/26/2025,"64,200","65,000","62,400","64,500","7,747,312"
05/23/2025,"64,200","64,300","63,300","64,200","7,726,680"
05/22/2025,"63,900","64,800","63,600","64,300","9,412,989"
05/21/2025,"64,900","64,900","63,600","64,300","9,818,707"
05/20/2025,"63,500","65,200","63,300","64,700","13,861,670"
05/19/2025,"63,500","64,400","63,100","63,700","8,558,196"
05/16/2025,"63,800","64,500","63,500","63,800","6,020,136"
05/15/2025,"64,000","64,600","63,000","64,300","10,326,010"
05/14/2025,"63,800","64,300","63,600","64,000","11,897,730"
05/13/2025,"61,200","63,700","61,000","63,500","17,936,070"
05/12/2025,"60,700","60,900","60,100","60,800","6,945,625"
05/09/2025,"60,300","61,000","60,100","60,400","5,807,972"
05/08/2025,"60,100","60,300","58,900","60,300","9,952,780"
05/07/2025,"59,900","60,500","59,100","60,100","8,212,231"
05/06/2025,"61,000","61,200","60,100","60,500","4,154,085"
05/05/2025,"60,800","61,400","60,000","61,000","5,303,811"
04/29/2025,"60,800","61,100","60,500","60,800","9,603,200"
04/28/2025,"60,900","62,000","59,600","60,900","8,653,900"
04/25/2025,"59,500","60,500","59,400","60,500","10,580,100"
04/24/2025,"58,800","59,900","58,400","59,700","8,426,300"
04/23/2025,"58,500","59,300","58,200","58,800","8,658,400"
04/22/2025,"55,400","57,300","52,000","57,300","16,304,400"
