Date,Open,High,Low,Close,Volume
07/03/2017,"31,368","31,368","31,001","31,074","731,835"
06/30/2017,"31,295","31,368","31,038","31,368","615,612"
06/29/2017,"31,442","31,442","31,074","31,111","233,767"
06/28/2017,"31,295","31,295","31,038","31,185","327,694"
06/27/2017,"31,442","31,442","31,221","31,295","384,825"
06/26/2017,"30,891","31,552","30,891","31,442","789,334"
06/23/2017,"30,707","30,927","30,707","30,891","942,107"
06/22/2017,"31,331","31,368","30,927","30,927","536,618"
06/21/2017,"31,074","31,442","30,817","31,442","757,250"
06/20/2017,"31,736","31,736","31,074","31,074","674,050"
06/19/2017,"31,221","31,662","31,111","31,662","1,029,132"
06/16/2017,"31,478","31,589","31,148","31,589","4,983,046"
06/15/2017,"30,560","31,074","30,560","31,074","1,294,766"
06/14/2017,"31,589","31,662","30,266","30,487","2,498,983"
06/13/2017,"31,258","31,589","31,038","31,589","8,744,680"
06/12/2017,"30,707","31,111","30,560","31,111","1,565,560"
06/09/2017,"30,413","30,707","30,413","30,560","732,679"
06/08/2017,"30,193","30,707","29,899","30,340","24,386,630"
06/07/2017,"29,862","30,119","29,862","30,119","673,111"
06/06/2017,"29,936","29,936","29,789","29,862","598,324"
06/05/2017,"29,752","29,862","29,568","29,826","24,173,429"
06/02/2017,"29,789","29,862","29,679","29,826","858,295"
06/01/2017,"29,752","29,862","29,568","29,789","967,699"
05/31/2017,"29,605","29,899","29,532","29,568","24,494,291"
05/30/2017,"29,605","29,826","29,568","29,568","906,497"
05/29/2017,"29,752","29,936","29,385","29,862","1,068,418"
05/26/2017,"29,458","29,752","29,385","29,752","986,389"
05/25/2017,"29,605","29,752","29,348","29,421","2,480,497"
05/24/2017,"30,009","30,083","29,679","29,752","1,915,524"
05/23/2017,"30,266","30,266","29,972","30,009","1,087,666"
05/22/2017,"29,972","30,413","29,972","30,266","1,124,161"
05/19/2017,"30,340","30,340","29,899","30,046","878,047"
05/18/2017,"30,340","30,634","30,156","30,340","1,110,045"
05/17/2017,"30,340","30,634","30,230","30,340","732,543"
05/16/2017,"30,119","30,487","29,972","30,487","1,370,792"
05/15/2017,"29,752","30,340","29,605","30,046","892,408"
05/12/2017,"29,679","29,826","29,605","29,752","507,501"
05/11/2017,"29,752","30,009","29,715","29,752","1,172,513"
05/10/2017,"29,789","29,972","29,679","29,715","983,544"
05/09/2017,"29,679","30,046","29,605","29,936","789,484"
05/08/2017,"29,679","29,789","29,495","29,679","3,678,635"
05/05/2017,"29,605","29,679","29,458","29,679","705,168"
05/04/2017,"29,789","29,789","29,458","29,605","946,150"
05/03/2017,"30,193","30,193","29,605","29,752","449,893"
04/28/2017,"29,752","30,046","29,679","30,046","1,181,810"
04/27/2017,"29,679","30,119","29,679","30,046","725,492"
04/26/2017,"29,679","29,752","29,458","29,679","569,697"
04/25/2017,"29,385","29,752","29,385","29,642","396,981"
04/24/2017,"29,605","30,046","29,128","29,385","575,754"
04/21/2017,"29,532","30,303","29,532","29,752","644,103"
04/20/2017,"30,487","30,560","29,752","29,826","5,607,659"
04/19/2017,"30,634","30,634","30,450","30,487","1,580,643"
04/18/2017,"30,487","30,854","30,340","30,634","572,596"
04/17/2017,"30,670","30,854","29,936","30,670","1,774,784"
04/14/2017,"31,001","31,111","30,634","30,670","952,984"
04/13/2017,"30,891","31,405","30,891","31,148","1,171,641"
04/12/2017,"31,258","31,515","30,854","30,891","898,588"
04/11/2017,"30,927","31,552","30,927","31,258","1,648,828"
04/10/2017,"30,854","31,221","30,781","31,148","1,292,275"
04/07/2017,"30,560","30,854","30,487","30,854","504,915"
04/05/2017,"30,854","30,927","30,560","30,560","784,808"
04/04/2017,"30,634","30,854","30,523","30,854","720,768"
04/03/2017,"30,781","30,854","30,487","30,487","848,644"
03/31/2017,"30,927","31,111","30,707","30,707","822,494"
03/30/2017,"31,074","31,111","30,854","31,001","905,476"
03/29/2017,"31,074","31,148","30,854","31,001","997,143"
03/28/2017,"31,111","31,111","30,854","30,854","967,781"
03/27/2017,"30,927","31,148","30,854","31,111","1,438,419"
03/24/2017,"31,074","31,185","30,964","31,111","2,126,926"
03/23/2017,"30,597","31,295","30,597","31,221","1,400,644"
03/22/2017,"30,450","31,148","30,450","30,597","2,036,239"
03/21/2017,"32,176","32,176","30,119","30,450","9,170,523"
03/20/2017,"32,544","32,691","31,809","31,809","1,593,574"
03/17/2017,"32,470","32,911","32,176","32,176","1,456,837"
03/16/2017,"31,736","32,323","31,736","32,323","261,836"
03/15/2017,"32,397","32,470","31,809","31,956","758,951"
03/14/2017,"32,470","32,691","32,360","32,360","503,771"
03/13/2017,"32,764","32,837","32,470","32,470","493,970"
03/10/2017,"32,360","32,837","32,323","32,470","1,145,260"
03/09/2017,"32,691","32,691","32,470","32,470","369,130"
03/08/2017,"32,948","32,948","32,323","32,691","754,854"
03/07/2017,"32,874","33,278","32,764","32,948","324,821"
03/06/2017,"32,984","33,352","32,764","32,874","499,456"
03/03/2017,"32,654","32,984","32,544","32,691","395,525"
03/02/2017,"32,764","33,021","32,323","32,397","1,081,758"
03/01/2017,"32,837","33,315","32,544","32,837","886,283"
02/28/2017,"33,939","33,939","33,058","33,058","1,374,318"
02/27/2017,"33,278","34,160","33,278","33,756","1,073,482"
02/24/2017,"33,242","33,792","32,984","33,242","691,910"
02/23/2017,"33,572","33,792","33,058","33,242","795,882"
02/22/2017,"34,013","34,380","33,425","33,572","1,205,373"
02/21/2017,"33,278","34,527","33,278","34,123","1,894,506"
02/20/2017,"32,176","33,352","31,809","33,278","1,094,513"
02/17/2017,"32,397","32,397","32,029","32,323","942,897"
02/16/2017,"32,691","32,837","32,323","32,323","1,186,275"
02/15/2017,"31,295","32,837","31,295","32,691","3,091,208"
02/14/2017,"31,295","31,478","31,185","31,258","675,371"
02/13/2017,"31,221","31,295","31,074","31,221","430,373"
