Date,Open,High,Low,Close,Volume
07/01/2022,"73,200","73,400","72,100","72,600","1,866,600"
06/30/2022,"72,700","73,500","72,400","73,500","1,918,800"
06/29/2022,"72,800","73,400","72,300","73,400","1,729,300"
06/28/2022,"73,000","73,800","72,400","73,600","2,228,300"
06/27/2022,"73,800","74,800","73,500","73,800","1,822,400"
06/24/2022,"73,500","74,600","72,000","74,600","1,514,800"
06/23/2022,"74,100","74,200","73,000","74,200","1,548,900"
06/22/2022,"74,700","75,000","73,600","75,000","2,418,900"
06/21/2022,"75,200","75,200","73,800","75,000","1,956,200"
06/20/2022,"76,600","76,600","75,300","75,600","2,132,800"
06/17/2022,"75,800","76,600","75,100","76,600","3,725,300"
06/16/2022,"76,000","77,700","75,800","76,600","1,597,800"
06/15/2022,"76,600","76,900","75,300","76,700","2,037,200"
06/14/2022,"76,200","76,600","75,200","76,600","2,058,500"
06/13/2022,"76,600","77,400","76,200","76,400","1,795,500"
06/10/2022,"77,800","78,200","77,500","78,000","979,600"
06/09/2022,"78,000","78,200","77,300","78,100","1,542,100"
06/08/2022,"77,800","78,700","77,600","78,100","1,441,700"
06/07/2022,"78,500","78,500","77,700","78,000","1,612,200"
06/06/2022,"78,700","78,900","77,900","78,500","1,503,500"
06/03/2022,"78,100","79,200","78,000","78,800","1,249,100"
06/02/2022,"79,200","79,200","77,600","78,900","3,905,400"
06/01/2022,"78,600","79,400","78,300","79,300","2,014,200"
05/31/2022,"78,000","79,500","77,700","78,800","1,776,600"
05/30/2022,"78,000","78,500","77,200","78,500","1,546,400"
05/27/2022,"77,400","78,000","77,000","78,000","1,575,800"
05/26/2022,"77,700","77,700","76,800","77,700","2,076,700"
05/25/2022,"77,600","78,100","76,700","77,700","1,360,400"
05/24/2022,"77,000","77,600","76,400","77,600","1,568,300"
05/23/2022,"77,600","77,700","76,200","77,400","2,664,747"
05/20/2022,"77,900","77,900","76,500","77,800","2,331,100"
05/19/2022,"76,400","79,000","76,200","77,900","2,650,300"
05/18/2022,"78,000","78,000","76,000","78,000","3,178,400"
05/17/2022,"76,000","78,000","75,200","78,000","2,315,400"
05/16/2022,"79,000","79,000","76,200","77,000","2,544,100"
05/13/2022,"79,000","79,000","77,200","78,000","3,394,600"
05/12/2022,"80,000","80,000","77,100","79,000","2,474,100"
05/11/2022,"80,200","80,500","78,700","80,500","1,983,600"
05/10/2022,"78,900","80,400","78,100","80,400","3,157,900"
05/09/2022,"78,700","79,200","77,900","79,100","2,416,100"
05/06/2022,"78,500","80,000","78,000","79,800","2,652,000"
05/05/2022,"79,600","80,000","78,500","80,000","1,858,600"
05/04/2022,"79,600","80,000","77,700","79,700","1,466,000"
04/29/2022,"77,500","80,000","76,600","80,000","2,172,900"
04/28/2022,"78,000","78,200","76,300","77,900","1,386,100"
04/27/2022,"77,500","78,000","75,000","78,000","3,128,500"
04/26/2022,"73,500","78,500","73,500","78,000","3,661,700"
04/25/2022,"77,800","79,200","72,700","76,200","2,737,900"
04/22/2022,"77,700","79,000","77,600","77,700","1,897,300"
04/21/2022,"79,000","79,500","77,500","77,500","2,684,300"
04/20/2022,"78,000","79,800","78,000","79,300","1,776,400"
04/19/2022,"78,600","79,800","77,800","78,800","2,467,280"
04/18/2022,"80,000","80,100","78,100","79,500","3,059,700"
04/15/2022,"81,500","81,800","80,600","80,700","1,678,400"
04/14/2022,"81,600","82,200","81,100","81,700","1,848,700"
04/13/2022,"81,000","82,300","80,700","82,200","3,296,300"
04/12/2022,"81,400","81,400","80,300","81,300","2,356,500"
04/08/2022,"80,000","82,400","80,000","81,700","5,390,924"
04/07/2022,"80,200","80,300","77,600","79,500","3,764,800"
04/06/2022,"80,500","82,300","79,500","80,500","6,277,900"
04/05/2022,"82,500","83,100","81,700","82,300","3,675,900"
04/04/2022,"82,500","82,800","81,500","82,700","2,810,000"
04/01/2022,"81,400","82,500","80,900","82,100","2,609,900"
03/31/2022,"81,100","82,300","81,000","81,200","1,557,000"
03/30/2022,"82,500","82,700","80,400","81,100","3,088,400"
03/29/2022,"80,000","81,800","79,800","80,800","2,898,300"
03/28/2022,"79,900","81,200","79,700","80,500","2,524,900"
