Date,Open,High,Low,Close,Volume
07/02/2018,"94,222","96,444","94,222","95,289","1,072,350"
06/29/2018,"93,422","95,822","93,422","95,556","3,338,831"
06/28/2018,"93,333","98,400","93,333","95,556","1,342,474"
06/27/2018,"90,799","92,415","90,358","91,974","1,603,158"
06/26/2018,"88,889","91,019","88,522","90,799","1,037,708"
06/25/2018,"91,827","91,827","90,358","90,872","765,907"
06/22/2018,"91,754","91,754","90,211","90,211","628,380"
06/21/2018,"91,827","92,195","89,770","91,093","2,314,560"
06/20/2018,"90,358","91,827","89,624","91,827","1,187,187"
06/19/2018,"89,256","90,652","85,950","90,358","2,755,592"
06/18/2018,"90,725","92,489","89,991","90,652","1,921,391"
06/15/2018,"92,562","93,150","90,725","90,725","8,536,153"
06/14/2018,"94,619","94,619","91,827","92,562","2,338,968"
06/13/2018,"89,624","94,031","89,624","94,031","3,216,770"
06/12/2018,"88,154","91,534","88,154","91,387","5,562,435"
06/11/2018,"91,093","91,901","89,991","91,313","27,544,115"
06/08/2018,"90,505","91,680","89,624","91,240","1,229,018"
06/07/2018,"91,754","92,121","90,505","91,240","2,345,924"
06/06/2018,"88,154","91,387","86,465","91,166","2,794,864"
06/05/2018,"88,154","89,991","87,126","88,962","25,178,738"
06/04/2018,"87,420","88,228","87,052","88,154","1,227,221"
06/01/2018,"84,775","88,154","83,747","87,420","5,891,081"
05/31/2018,"82,130","85,950","80,073","85,216","7,578,133"
05/30/2018,"80,882","83,379","77,796","81,543","2,636,782"
05/29/2018,"78,090","81,910","77,943","80,808","2,477,679"
05/28/2018,"75,519","81,543","75,298","81,543","4,366,046"
05/25/2018,"76,474","81,249","73,462","78,604","4,977,247"
05/24/2018,"75,666","77,135","74,343","76,474","4,298,596"
05/23/2018,"74,270","78,090","72,727","75,666","7,296,871"
05/22/2018,"81,396","83,747","78,163","78,163","6,248,722"
05/21/2018,"90,358","90,358","84,040","84,040","3,070,789"
05/18/2018,"89,624","91,827","88,522","90,358","2,073,551"
05/17/2018,"95,500","95,500","89,991","90,358","2,440,245"
05/16/2018,"96,970","96,970","94,031","95,500","1,196,825"
05/15/2018,"98,365","99,027","96,970","96,970","2,332,529"
05/14/2018,"91,827","96,970","91,827","96,970","3,247,493"
05/11/2018,"88,228","91,093","87,420","91,093","2,908,065"
05/10/2018,"90,211","90,211","88,154","88,522","12,355,714"
05/09/2018,"90,064","90,505","89,477","90,285","2,295,013"
05/08/2018,"91,534","91,754","90,505","91,019","1,719,994"
05/07/2018,"90,725","91,827","90,725","91,534","1,442,680"
05/04/2018,"89,330","91,901","88,154","91,460","4,375,289"
05/03/2018,"90,358","92,635","89,624","90,358","6,436,357"
05/02/2018,"92,562","92,562","88,154","91,827","7,084,217"
04/27/2018,"90,138","92,929","89,624","92,562","4,105,298"
04/26/2018,"93,150","93,297","90,285","93,297","8,922,231"
04/24/2018,"88,154","93,737","86,832","93,297","11,868,738"
04/23/2018,"91,093","92,415","90,211","90,505","6,580,391"
04/20/2018,"88,815","91,460","83,673","90,358","5,669,606"
04/19/2018,"94,472","94,766","88,815","88,815","7,496,335"
04/18/2018,"96,235","96,970","95,427","95,427","3,341,385"
04/17/2018,"95,500","96,970","93,664","95,500","3,246,458"
04/16/2018,"94,031","94,913","91,460","94,545","2,295,870"
04/13/2018,"94,031","95,941","93,297","93,737","2,849,355"
04/12/2018,"91,093","93,884","89,183","93,297","5,935,335"
04/11/2018,"96,676","98,072","91,093","92,562","7,663,525"
04/10/2018,"99,174","100,496","96,235","96,235","6,212,704"
04/09/2018,"99,174","99,541","97,704","99,100","4,366,263"
04/06/2018,"95,500","97,337","95,280","97,264","2,653,580"
04/05/2018,"96,970","97,704","95,280","96,235","4,437,076"
04/04/2018,"90,358","94,692","90,358","93,664","3,732,732"
04/03/2018,"89,770","90,358","88,742","89,844","3,284,206"
04/02/2018,"87,199","91,460","86,685","90,358","3,346,483"
