Date,Open,High,Low,Close,Volume
07/01/2025,"95,700","96,500","93,500","95,600","2,339,706"
06/30/2025,"95,500","96,300","95,100","95,600","1,269,261"
06/27/2025,"95,000","96,100","92,400","95,500","3,037,579"
06/26/2025,"95,000","97,000","95,000","95,000","2,914,991"
06/25/2025,"96,000","96,600","94,500","95,800","2,763,873"
06/24/2025,"94,900","98,000","93,700","95,800","4,137,001"
06/23/2025,"86,100","92,800","85,100","92,800","4,693,720"
06/20/2025,"89,400","89,400","86,700","86,800","13,670,490"
06/19/2025,"88,000","90,600","87,600","89,400","3,353,107"
06/18/2025,"87,700","89,000","86,900","88,000","1,545,511"
06/17/2025,"85,400","90,800","84,300","87,700","3,492,177"
06/16/2025,"84,000","85,600","82,600","85,400","2,621,970"
06/13/2025,"85,700","86,000","81,600","85,500","4,991,695"
06/12/2025,"91,400","91,600","84,700","86,800","4,095,029"
06/11/2025,"92,600","92,600","90,000","90,200","2,174,458"
06/10/2025,"86,000","92,900","86,000","90,600","7,000,185"
06/09/2025,"96,900","96,900","90,300","90,300","3,785,703"
06/06/2025,"96,600","98,500","96,400","97,000","3,034,976"
06/05/2025,"97,900","98,100","96,300","98,000","3,354,639"
06/04/2025,"98,000","98,500","96,400","98,100","3,639,230"
06/03/2025,"97,500","99,500","95,000","98,100","4,420,588"
06/02/2025,"98,700","99,800","94,200","98,000","6,492,797"
05/30/2025,"97,100","99,000","96,300","98,400","3,280,608"
05/29/2025,"97,200","99,000","96,100","97,000","4,785,932"
05/28/2025,"93,000","98,300","93,000","97,000","6,422,060"
05/27/2025,"94,700","95,000","91,500","94,500","6,657,666"
05/26/2025,"93,200","95,300","87,000","94,500","4,826,835"
05/23/2025,"92,000","96,300","91,800","93,000","4,202,084"
05/22/2025,"93,000","98,500","91,800","92,500","6,576,638"
05/21/2025,"97,900","97,900","89,900","93,500","7,294,674"
05/20/2025,"88,500","91,500","88,500","91,500","3,893,646"
05/19/2025,"80,100","85,600","80,000","85,600","9,173,088"
05/16/2025,"78,700","80,900","78,700","80,000","4,665,822"
05/15/2025,"79,000","79,900","77,200","79,800","8,937,212"
05/14/2025,"79,100","82,500","78,400","79,800","6,805,491"
05/13/2025,"80,500","80,500","76,700","79,600","11,760,760"
05/12/2025,"78,400","80,200","77,000","79,400","8,041,846"
05/09/2025,"80,000","80,900","75,500","76,500","7,051,555"
05/08/2025,"75,200","78,500","74,200","78,500","7,245,570"
05/07/2025,"70,600","74,000","70,400","73,400","15,782,890"
05/06/2025,"70,600","71,800","69,400","70,500","5,717,679"
05/05/2025,"68,900","72,400","68,000","70,000","4,415,965"
04/29/2025,"67,000","68,000","63,800","68,000","16,029,900"
04/28/2025,"67,800","69,000","66,700","68,000","7,023,300"
04/25/2025,"64,400","67,000","64,000","67,000","14,949,000"
04/24/2025,"58,900","62,700","58,600","62,700","8,730,000"
04/23/2025,"60,000","60,300","58,300","58,600","18,984,199"
04/22/2025,"62,000","62,700","58,000","59,000","17,678,600"
04/21/2025,"64,100","67,400","61,500","61,500","15,468,900"
04/18/2025,"71,800","71,800","66,100","66,100","10,665,700"
04/17/2025,"67,700","71,000","67,200","71,000","72,938,852"
04/16/2025,"70,600","72,000","67,400","67,900","14,021,700"
04/15/2025,"70,400","74,400","70,000","70,500","15,544,700"
04/14/2025,"66,500","69,600","66,000","69,600","12,227,100"
04/11/2025,"59,700","65,100","59,700","65,100","13,393,300"
04/10/2025,"60,900","60,900","60,900","60,900","3,834,700"
04/09/2025,"52,100","58,400","52,100","57,000","13,002,500"
04/08/2025,"58,000","58,000","54,300","55,100","16,867,199"
04/04/2025,"54,200","59,500","53,400","58,300","14,551,100"
04/03/2025,"58,200","59,800","56,200","56,200","19,235,900"
04/02/2025,"60,500","61,200","59,500","60,400","16,069,060"
04/01/2025,"58,700","60,800","58,200","59,700","7,757,400"
03/31/2025,"57,800","58,500","57,300","58,000","25,157,061"
03/28/2025,"57,000","58,300","56,900","58,000","5,542,600"
03/27/2025,"57,500","58,700","56,600","57,100","30,716,750"
03/26/2025,"57,800","58,000","55,700","57,000","8,597,700"
03/25/2025,"57,700","59,200","56,600","56,900","38,025,551"
03/24/2025,"53,000","56,700","52,700","56,700","13,829,000"
03/21/2025,"51,600","53,000","51,000","53,000","7,620,300"
03/20/2025,"52,000","53,200","50,700","51,500","6,629,100"
03/19/2025,"50,800","52,500","49,200","51,900","10,476,000"
03/18/2025,"52,100","52,700","51,100","51,300","7,940,099"
03/17/2025,"52,500","52,700","50,800","52,100","6,631,300"
03/14/2025,"51,800","52,800","51,400","52,200","8,422,600"
03/13/2025,"48,300","51,400","47,500","51,400","16,501,000"
03/12/2025,"47,350","48,250","47,350","48,100","7,003,400"
03/11/2025,"46,900","47,300","46,500","47,300","24,084,000"
03/10/2025,"45,900","47,900","45,800","47,300","12,630,000"
03/07/2025,"42,300","45,300","42,250","45,300","11,608,700"
03/06/2025,"42,300","42,550","42,050","42,350","2,762,200"
03/05/2025,"42,050","42,500","42,000","42,250","7,809,700"
03/04/2025,"42,450","42,500","41,800","41,950","3,056,500"
03/03/2025,"41,300","42,400","41,200","42,050","2,943,500"
02/28/2025,"41,050","41,600","40,700","41,200","2,771,000"
02/27/2025,"41,200","41,200","40,750","41,050","1,527,600"
02/26/2025,"41,000","41,100","40,800","41,000","1,364,900"
02/25/2025,"40,700","41,150","40,650","40,700","1,879,300"
02/24/2025,"40,350","40,650","40,350","40,600","4,126,100"
02/21/2025,"40,950","40,950","40,650","40,650","2,638,100"
02/20/2025,"40,450","41,250","40,400","40,950","2,936,300"
02/19/2025,"40,200","40,500","40,050","40,400","18,000,301"
02/18/2025,"40,100","40,450","39,900","40,200","7,449,000"
02/17/2025,"40,250","40,400","40,050","40,100","5,907,700"
02/14/2025,"40,500","40,500","40,200","40,250","5,072,800"
02/13/2025,"39,900","40,300","39,850","40,250","1,138,900"
02/12/2025,"39,950","40,100","39,900","39,900","8,583,900"
02/11/2025,"40,000","40,100","39,850","39,950","1,522,000"
02/10/2025,"40,350","40,350","40,000","40,000","9,329,700"
02/07/2025,"40,500","40,700","40,250","40,650","1,480,000"
02/06/2025,"40,350","40,550","40,050","40,450","1,684,600"
02/05/2025,"40,200","40,450","40,050","40,050","1,420,700"
02/04/2025,"40,050","40,200","39,850","40,100","1,440,900"
02/03/2025,"40,200","40,300","39,900","40,050","1,637,100"
01/24/2025,"40,250","40,500","40,200","40,400","1,558,400"
01/23/2025,"40,400","40,650","40,250","40,400","1,599,100"
01/22/2025,"40,500","40,500","40,100","40,400","15,240,200"
01/21/2025,"40,550","40,550","40,300","40,450","1,645,739"
01/20/2025,"40,300","40,450","40,250","40,400","670,200"
01/17/2025,"40,500","40,550","40,250","40,450","2,493,821"
01/16/2025,"40,300","40,650","40,100","40,450","52,883,754"
01/15/2025,"40,300","40,350","40,000","40,250","6,296,600"
01/14/2025,"40,200","40,200","39,800","40,200","2,326,300"
01/13/2025,"39,700","40,350","39,700","40,300","5,486,700"
01/10/2025,"40,750","40,900","40,400","40,500","1,104,600"
01/09/2025,"40,550","41,000","40,500","40,750","1,273,900"
01/08/2025,"40,400","40,550","40,300","40,500","1,025,800"
01/07/2025,"40,300","40,550","40,200","40,500","2,051,000"
01/06/2025,"40,400","40,500","40,300","40,500","9,114,300"
01/03/2025,"40,550","40,550","40,150","40,500","1,915,100"
01/02/2025,"40,500","40,550","40,300","40,550","1,340,500"
12/31/2024,"40,550","40,600","40,300","40,550","1,870,400"
12/30/2024,"40,350","40,600","40,300","40,550","1,415,300"
12/27/2024,"40,700","40,900","40,550","40,550","1,497,700"
12/26/2024,"40,700","41,000","40,650","40,650","977,500"
12/25/2024,"40,600","41,050","40,550","40,650","1,933,100"
12/24/2024,"40,500","40,600","40,350","40,600","7,374,500"
