Date,Price,Open,High,Low,Vol.,Change %
26/08/2025,"100,000.00","98,800.00","100,000.00","97,900.00",5.81M,1.21%
25/08/2025,"98,800.00","102,000.00","102,000.00","98,800.00",6.74M,-0.20%
22/08/2025,"99,000.00","101,600.00","101,600.00","98,800.00",7.21M,-2.65%
21/08/2025,"101,700.00","97,700.00","102,900.00","97,700.00",12.62M,4.09%
20/08/2025,"97,700.00","100,100.00","100,300.00","97,500.00",19.97M,-2.59%
19/08/2025,"100,300.00","100,600.00","101,500.00","100,000.00",9.15M,-0.20%
18/08/2025,"100,500.00","101,400.00","103,000.00","100,000.00",11.39M,-0.89%
15/08/2025,"101,400.00","103,800.00","104,800.00","101,300.00",18.62M,-2.31%
14/08/2025,"103,800.00","105,800.00","105,800.00","103,700.00",17.91M,-1.24%
13/08/2025,"105,100.00","107,600.00","107,800.00","104,900.00",21.85M,-2.23%
12/8/2025,"107,500.00","107,400.00","108,200.00","106,600.00",11.01M,1.03%
11/8/2025,"106,400.00","105,900.00","109,500.00","105,300.00",10.28M,0.76%
8/8/2025,"105,600.00","106,500.00","107,400.00","104,800.00",9.18M,-0.56%
7/8/2025,"106,200.00","105,600.00","107,400.00","104,900.00",9.57M,1.24%
6/8/2025,"104,900.00","106,000.00","106,200.00","104,500.00",11.81M,-0.85%
5/8/2025,"105,800.00","107,000.00","108,700.00","105,000.00",11.40M,-0.75%
4/8/2025,"106,600.00","106,500.00","106,600.00","104,800.00",4.62M,-0.37%
1/8/2025,"107,000.00","103,700.00","107,400.00","101,500.00",10.89M,2.88%
31/07/2025,"104,000.00","106,100.00","106,900.00","103,800.00",8.94M,-1.98%
30/07/2025,"106,100.00","107,000.00","108,000.00","105,300.00",7.49M,0.09%
29/07/2025,"106,000.00","111,300.00","111,600.00","106,000.00",16.06M,-4.76%
28/07/2025,"111,300.00","110,800.00","111,600.00","110,500.00",7.61M,0.54%
25/07/2025,"110,700.00","111,100.00","111,500.00","110,500.00",5.14M,-0.36%
24/07/2025,"111,100.00","112,000.00","112,100.00","110,800.00",6.42M,-0.63%
23/07/2025,"111,800.00","112,300.00","112,800.00","111,300.00",4.80M,-0.27%
