Date,Price,Open,High,Low,Vol.,Change %
26/08/2025,"27,200.00","26,100.00","27,200.00","26,100.00",51.99M,4.82%
25/08/2025,"25,950.00","26,500.00","26,750.00","25,850.00",68.32M,-0.19%
22/08/2025,"26,000.00","26,950.00","27,100.00","26,000.00",132.31M,-5.11%
21/08/2025,"27,400.00","27,450.00","27,800.00","27,300.00",69.98M,0.00%
20/08/2025,"27,400.00","28,200.00","28,250.00","27,050.00",101.01M,-2.66%
19/08/2025,"28,150.00","28,600.00","28,700.00","28,100.00",63.02M,-0.88%
18/08/2025,"28,400.00","28,300.00","28,800.00","28,200.00",69.04M,1.43%
15/08/2025,"28,000.00","28,450.00","28,800.00","27,850.00",107.93M,-0.71%
14/08/2025,"28,200.00","28,200.00","28,450.00","28,000.00",76.05M,0.36%
13/08/2025,"28,100.00","28,550.00","28,600.00","27,850.00",79.77M,-1.40%
12/8/2025,"28,500.00","28,350.00","29,100.00","28,150.00",84.20M,1.24%
11/8/2025,"28,150.00","28,150.00","28,450.00","27,800.00",67.22M,0.54%
8/8/2025,"28,000.00","28,600.00","28,650.00","27,600.00",121.06M,-1.75%
7/8/2025,"28,500.00","27,350.00","28,550.00","27,000.00",139.12M,5.17%
6/8/2025,"27,100.00","26,750.00","27,700.00","26,650.00",96.17M,2.65%
5/8/2025,"26,400.00","25,450.00","27,050.00","25,450.00",216.00M,4.35%
4/8/2025,"25,300.00","25,100.00","25,450.00","24,950.00",37.06M,0.60%
1/8/2025,"25,150.00","24,850.00","25,300.00","24,800.00",50.80M,0.80%
31/07/2025,"24,950.00","25,450.00","25,600.00","24,750.00",85.33M,-1.77%
30/07/2025,"25,400.00","25,600.00","25,750.00","25,100.00",50.19M,0.20%
29/07/2025,"25,350.00","26,450.00","26,600.00","25,350.00",82.60M,-3.80%
28/07/2025,"26,350.00","26,100.00","26,850.00","26,000.00",99.59M,1.15%
25/07/2025,"26,050.00","26,000.00","26,300.00","25,900.00",51.08M,0.19%
24/07/2025,"26,000.00","26,400.00","26,450.00","25,900.00",51.91M,-1.52%
23/07/2025,"26,400.00","26,550.00","26,950.00","26,400.00",43.12M,-0.19%
22/07/2025,"26,450.00","26,150.00","26,450.00","26,000.00",31.50M,0.95%
21/07/2025,"26,200.00","26,400.00","27,000.00","26,100.00",55.77M,1.16%
18/07/2025,"25,900.00","26,000.00","26,100.00","25,750.00",40.72M,-0.38%
17/07/2025,"26,000.00","26,200.00","26,350.00","25,900.00",56.23M,-0.38%
16/07/2025,"26,100.00","25,450.00","26,200.00","25,400.00",45.89M,2.35%
15/07/2025,"25,500.00","25,800.00","26,000.00","25,500.00",46.51M,-0.97%
14/07/2025,"25,750.00","26,200.00","26,450.00","25,550.00",49.44M,-0.96%
11/7/2025,"26,000.00","25,250.00","26,250.00","25,050.00",65.29M,3.38%
10/7/2025,"25,150.00","24,850.00","25,200.00","24,550.00",85.28M,1.62%
9/7/2025,"24,750.00","24,800.00","25,100.00","24,600.00",43.46M,0.20%
8/7/2025,"24,700.00","23,650.00","24,800.00","23,550.00",77.48M,4.66%
7/7/2025,"23,600.00","23,700.00","23,700.00","23,400.00",36.00M,1.51%
4/7/2025,"23,250.00","23,150.00","23,250.00","23,100.00",19.40M,0.65%
3/7/2025,"23,100.00","23,000.00","23,650.00","23,000.00",42.51M,0.87%
2/7/2025,"22,900.00","22,650.00","22,900.00","22,550.00",18.90M,1.10%
1/7/2025,"22,650.00","22,750.00","22,900.00","22,600.00",19.77M,-0.22%
30/06/2025,"22,700.00","22,900.00","22,950.00","22,700.00",19.89M,-0.66%
27/06/2025,"22,850.00","22,950.00","22,950.00","22,750.00",16.48M,0.22%
26/06/2025,"22,800.00","23,050.00","23,150.00","22,750.00",38.37M,0.59%
25/06/2025,"22,666.70","22,583.30","22,875.00","22,458.30",46.37M,0.74%
24/06/2025,"22,500.00","22,541.70","22,666.70","22,458.30",33.44M,0.56%
23/06/2025,"22,375.00","22,375.00","22,500.00","22,166.70",26.63M,-0.56%
20/06/2025,"22,500.00","22,500.00","22,583.30","22,375.00",28.10M,0.37%
19/06/2025,"22,416.70","22,625.00","22,666.70","22,333.30",28.09M,-0.92%
18/06/2025,"22,625.00","22,416.70","22,666.70","22,333.30",37.76M,1.12%
17/06/2025,"22,375.00","22,416.70","22,583.30","22,291.70",31.95M,0.37%
16/06/2025,"22,291.70","21,958.30","22,500.00","21,958.30",35.68M,1.33%
13/06/2025,"22,000.00","22,166.70","22,291.70","21,916.70",46.52M,-1.49%
12/6/2025,"22,333.30","21,791.70","22,583.30","21,791.70",62.66M,2.68%
11/6/2025,"21,750.00","21,916.70","21,958.30","21,666.70",19.86M,-0.38%
10/6/2025,"21,833.30","22,083.30","22,375.00","21,833.30",35.29M,-0.38%
