Date,Price,Open,High,Low,Vol.,Change %
26/08/2025,"73,600","69,000","73,600","68,600",16.81M,6.98%
25/08/2025,"68,800","70,300","70,600","68,600",6.39M,-2.13%
22/08/2025,"70,300","69,900","70,600","68,400",10.90M,-0.99%
21/08/2025,"71,000","69,400","71,600","69,200",12.50M,2.31%
20/08/2025,"69,400","68,500","70,700","68,100",11.46M,2.06%
19/08/2025,"68,000","70,000","70,000","68,000",14.13M,-2.86%
18/08/2025,"70,000","70,600","71,000","69,200",8.20M,-0.71%
15/08/2025,"70,500","72,000","72,300","69,800",9.11M,-1.95%
14/08/2025,"71,900","71,000","71,900","70,100",9.93M,1.41%
13/08/2025,"70,900","72,500","72,500","70,000",11.74M,-1.80%
12/8/2025,"72,200","72,300","72,500","71,000",7.81M,0.14%
11/8/2025,"72,100","72,000","73,700","71,700",10.68M,0.14%
8/8/2025,"72,000","72,600","72,800","70,500",11.12M,-0.55%
7/8/2025,"72,400","72,700","72,800","71,600",8.10M,0.00%
6/8/2025,"72,400","68,900","72,400","68,500",18.00M,4.47%
5/8/2025,"69,300","67,300","69,500","66,000",15.70M,3.43%
4/8/2025,"67,000","65,200","67,000","65,200",8.21M,2.76%
1/8/2025,"65,200","65,400","66,700","65,200",8.23M,-0.15%
31/07/2025,"65,300","67,200","67,800","65,200",14.55M,-2.68%
30/07/2025,"67,100","67,500","67,900","66,100",13.16M,0.75%
29/07/2025,"66,600","70,200","70,200","66,400",18.36M,-5.13%
28/07/2025,"70,200","70,600","71,000","69,600",9.57M,0.14%
25/07/2025,"70,100","69,500","71,100","69,200",6.47M,0.86%
24/07/2025,"69,500","70,000","70,000","68,800",6.61M,0.00%
23/07/2025,"69,500","69,796","69,993","69,007",7.55M,0.14%
22/07/2025,"69,401","69,007","69,401","68,021",7.91M,0.57%
21/07/2025,"69,007","69,993","69,993","68,218",7.60M,-0.99%
18/07/2025,"69,697","69,500","70,979","68,711",7.74M,0.28%
17/07/2025,"69,500","68,810","69,796","68,613",6.84M,-0.71%
16/07/2025,"70,000","69,200","70,000","68,500",6.38M,1.01%
15/07/2025,"69,300","69,400","71,400","69,300",10.08M,0.43%
14/07/2025,"69,000","67,900","69,000","66,400",8.67M,1.62%
11/7/2025,"67,900","68,000","68,100","67,300",5.78M,-0.15%
10/7/2025,"68,000","68,000","68,400","67,300",6.94M,0.44%
9/7/2025,"67,700","67,500","67,700","66,800",7.52M,0.74%
8/7/2025,"67,200","66,600","67,300","66,000",8.52M,1.05%
7/7/2025,"66,500","66,600","66,800","65,800",6.68M,0.30%
4/7/2025,"66,300","65,900","66,500","65,500",6.18M,1.38%
3/7/2025,"65,400","64,700","66,600","64,700",12.68M,0.93%
2/7/2025,"64,800","64,500","65,100","64,300",5.79M,0.47%
1/7/2025,"64,500","65,500","65,800","64,300",7.11M,-1.53%
30/06/2025,"65,500","66,200","66,300","65,400",5.03M,-0.46%
27/06/2025,"65,800","64,700","66,300","64,600",11.07M,2.02%
26/06/2025,"64,500","65,000","65,300","64,200",5.21M,-0.77%
25/06/2025,"65,000","64,800","65,200","64,500",6.37M,0.15%
24/06/2025,"64,900","65,800","65,900","64,900",8.02M,-0.15%
23/06/2025,"65,000","63,900","65,000","63,200",7.78M,1.40%
20/06/2025,"64,100","64,000","64,600","63,700",4.81M,0.16%
19/06/2025,"64,000","63,600","64,300","63,100",7.90M,0.47%
18/06/2025,"63,700","64,300","65,300","63,600",7.68M,-1.09%
17/06/2025,"64,400","64,400","64,500","63,800",5.18M,0.16%
16/06/2025,"64,300","63,000","64,300","62,600",8.36M,1.74%
13/06/2025,"63,200","62,700","63,400","61,800",8.83M,-0.47%
12/6/2025,"63,500","62,500","63,500","62,100",10.59M,2.58%
11/6/2025,"61,900","61,500","62,200","61,500",4.24M,0.65%
10/6/2025,"61,500","61,000","62,900","60,600",10.56M,1.65%
9/6/2025,"60,500","60,500","60,700","59,900",7.25M,0.00%
6/6/2025,"60,500","61,200","61,300","60,400",6.29M,-1.94%
5/6/2025,"61,700","61,000","62,200","61,000",5.37M,0.65%
4/6/2025,"61,300","62,800","62,800","61,100",6.68M,-1.76%
3/6/2025,"62,400","61,000","62,800","61,000",6.56M,2.30%
2/6/2025,"61,000","62,000","62,000","60,000",14.33M,-1.77%
30/05/2025,"62,100","63,800","63,900","62,100",12.82M,-3.42%
29/05/2025,"64,300","64,500","64,600","63,400",7.33M,-0.16%
28/05/2025,"64,400","64,300","65,500","64,000",10.27M,0.16%
27/05/2025,"64,300","64,800","64,900","63,500",8.16M,-0.31%
26/05/2025,"64,500","64,200","65,000","62,400",7.02M,0.47%
23/05/2025,"64,200","64,200","64,300","63,300",7.27M,-0.16%
22/05/2025,"64,300","63,900","64,800","63,600",8.71M,0.00%
21/05/2025,"64,300","64,900","64,900","63,600",6.78M,-0.62%
20/05/2025,"64,700","63,500","65,200","63,300",11.90M,1.57%
19/05/2025,"63,700","63,500","64,400","63,100",6.53M,-0.16%
16/05/2025,"63,800","63,800","64,500","63,500",5.35M,-0.78%
15/05/2025,"64,300","64,000","64,600","63,000",9.78M,0.47%
14/05/2025,"64,000","63,800","64,300","63,600",9.93M,0.79%
13/05/2025,"63,500","61,200","63,700","61,000",17.08M,4.44%
12/5/2025,"60,800","60,700","60,900","60,100",6.43M,0.66%
9/5/2025,"60,400","60,300","61,000","60,100",4.78M,0.17%
8/5/2025,"60,300","60,100","60,300","58,900",9.46M,0.33%
7/5/2025,"60,100","59,900","60,500","59,100",7.74M,-0.66%
6/5/2025,"60,500","61,000","61,200","60,100",4.11M,-0.82%
5/5/2025,"61,000","60,800","61,400","60,000",5.10M,0.33%
29/04/2025,"60,800","60,800","61,100","60,500",5.70M,-0.16%
28/04/2025,"60,900","60,900","62,000","59,600",7.71M,0.66%
25/04/2025,"60,500","59,500","60,500","59,400",10.32M,1.34%
24/04/2025,"59,700","58,800","59,900","58,400",7.68M,1.53%
23/04/2025,"58,800","58,500","59,300","58,200",8.39M,2.62%
22/04/2025,"57,300","55,400","57,300","52,000",16.30M,3.06%
21/04/2025,"55,600","56,300","56,600","55,300",4.63M,-1.07%
18/04/2025,"56,200","56,900","57,600","56,200",6.35M,-1.06%
17/04/2025,"56,800","55,900","56,800","55,600",5.40M,0.00%
16/04/2025,"56,800","56,600","57,700","55,600",9.25M,-0.53%
15/04/2025,"57,100","56,000","57,600","55,100",12.06M,0.88%
14/04/2025,"56,600","55,000","56,600","54,300",15.36M,6.99%
11/4/2025,"52,900","51,000","52,900","50,600",12.78M,6.98%
10/4/2025,"49,450","49,450","49,450","49,450",411.30K,6.92%
9/4/2025,"46,250","45,750","49,200","45,750",20.21M,-5.90%
8/4/2025,"49,150","49,200","50,000","49,150",11.93M,-6.91%
4/4/2025,"52,800","50,900","53,500","50,900",28.99M,-3.47%
3/4/2025,"54,700","55,100","56,300","54,700",14.96M,-6.97%
2/4/2025,"58,800","58,600","59,700","58,000",7.44M,0.34%
1/4/2025,"58,600","58,600","58,900","57,700",5.64M,-0.68%
31/03/2025,"59,000","59,000","59,200","58,100",6.53M,-1.34%
28/03/2025,"59,800","60,100","60,700","58,900",7.23M,-0.99%
27/03/2025,"60,400","60,800","60,800","60,000",3.19M,-0.66%
26/03/2025,"60,800","60,600","61,200","60,500",2.42M,0.50%
25/03/2025,"60,500","60,400","61,300","59,900",5.51M,0.33%
24/03/2025,"60,300","59,800","60,300","59,500",2.86M,0.00%
21/03/2025,"60,300","60,000","60,300","59,400",3.13M,0.50%
20/03/2025,"60,000","59,800","60,000","59,000",4.06M,0.84%
19/03/2025,"59,500","61,200","61,400","59,000",13.42M,-3.72%
18/03/2025,"61,800","62,200","62,500","61,400",5.35M,-0.32%
17/03/2025,"62,000","61,700","62,000","61,400",3.54M,0.81%
14/03/2025,"61,500","61,500","62,300","61,200",8.76M,0.00%
13/03/2025,"61,500","62,700","62,800","61,200",7.33M,-1.91%
12/3/2025,"62,700","63,000","63,000","61,900",8.82M,-0.48%
11/3/2025,"63,000","61,400","63,200","61,400",9.58M,1.29%
10/3/2025,"62,200","62,000","62,300","61,400",8.13M,0.48%
7/3/2025,"61,900","61,800","62,000","61,300",5.40M,0.00%
6/3/2025,"61,900","59,800","61,900","59,600",13.45M,3.86%
5/3/2025,"59,600","59,800","60,200","59,300",7.19M,0.17%
4/3/2025,"59,500","58,700","59,900","58,400",6.41M,1.19%
3/3/2025,"58,800","58,200","59,100","57,800",5.94M,0.86%
28/02/2025,"58,300","58,000","58,700","57,800",5.28M,-0.51%
27/02/2025,"58,600","58,700","58,800","58,200",3.22M,-0.17%
26/02/2025,"58,700","58,300","59,100","57,800",4.98M,0.69%
25/02/2025,"58,300","58,100","58,400","57,400",7.93M,-0.17%
24/02/2025,"58,400","58,100","58,500","57,300",6.24M,0.52%
21/02/2025,"58,100","56,800","58,300","56,600",10.12M,2.47%
20/02/2025,"56,700","55,900","56,700","55,700",6.19M,1.61%
19/02/2025,"55,800","54,700","56,100","54,400",7.55M,2.39%
18/02/2025,"54,500","54,000","55,000","53,800",4.50M,0.74%
17/02/2025,"54,100","55,200","55,200","54,100",5.93M,-1.99%
14/02/2025,"55,200","55,100","55,300","53,800",11.17M,0.73%
13/02/2025,"54,800","56,000","56,000","54,800",11.35M,-2.84%
12/2/2025,"56,400","56,800","57,300","56,400",4.85M,0.00%
11/2/2025,"56,400","57,400","57,400","56,400",5.99M,-1.74%
10/2/2025,"57,400","58,300","58,300","57,400",5.93M,-2.55%
7/2/2025,"58,900","58,900","59,000","57,800",6.96M,-0.34%
6/2/2025,"59,100","59,500","59,600","58,700",4.15M,-0.51%
5/2/2025,"59,400","59,600","59,800","59,100",2.78M,-0.34%
4/2/2025,"59,600","59,900","59,900","59,000",3.64M,0.00%
3/2/2025,"59,600","59,000","59,600","58,500",5.16M,-0.83%
24/01/2025,"60,100","59,200","60,100","58,600",6.76M,1.52%
23/01/2025,"59,200","57,300","59,500","57,300",5.66M,3.14%
22/01/2025,"57,400","57,900","58,000","57,400",3.10M,-0.52%
21/01/2025,"57,700","57,700","58,200","57,200",3.42M,0.35%
20/01/2025,"57,500","57,700","57,900","57,300",2.22M,-0.35%
17/01/2025,"57,700","57,300","57,800","57,200",2.70M,-0.17%
16/01/2025,"57,800","57,200","58,000","57,000",3.79M,0.87%
15/01/2025,"57,300","57,400","57,900","56,800",3.24M,0.17%
14/01/2025,"57,200","57,300","57,500","56,600",2.92M,-0.17%
13/01/2025,"57,300","56,600","57,700","56,500",3.79M,-0.35%
10/1/2025,"57,500","57,500","58,000","56,900",3.59M,-0.35%
9/1/2025,"57,700","58,000","58,000","57,500",1.74M,-0.69%
8/1/2025,"58,100","57,100","58,100","56,500",3.07M,1.75%
7/1/2025,"57,100","57,300","57,800","56,400",5.53M,0.18%
6/1/2025,"57,000","58,400","59,300","57,000",5.41M,-2.73%
3/1/2025,"58,600","60,600","60,700","58,600",6.60M,-3.30%
2/1/2025,"60,600","60,900","61,200","60,300",3.97M,-0.66%
31/12/2024,"61,000","60,900","61,000","60,500",4.52M,0.00%
30/12/2024,"61,000","60,500","61,200","60,500",4.18M,-0.65%
27/12/2024,"61,400","60,600","61,600","60,400",6.95M,-0.16%
26/12/2024,"61,500","62,400","62,400","60,500",6.55M,-1.13%
25/12/2024,"62,200","61,300","62,300","61,300",6.30M,1.47%
24/12/2024,"61,300","61,200","61,300","60,700",3.06M,0.49%
23/12/2024,"61,000","60,600","61,100","60,500",5.54M,0.66%
20/12/2024,"60,600","60,000","60,800","59,600",3.75M,1.34%
19/12/2024,"59,800","59,800","59,900","59,400",7.10M,-0.66%
18/12/2024,"60,200","60,200","60,500","59,900",4.08M,-0.17%
17/12/2024,"60,300","61,000","61,000","60,200",3.68M,-1.15%
16/12/2024,"61,000","61,000","61,400","60,200",3.62M,0.00%
13/12/2024,"61,000","59,800","61,300","59,600",5.60M,1.67%
12/12/2024,"60,000","60,300","60,500","59,900",3.77M,0.00%
11/12/2024,"60,000","60,700","60,800","59,900",4.82M,-1.32%
10/12/2024,"60,800","61,100","61,200","60,500",4.23M,-0.49%
9/12/2024,"61,100","61,600","61,600","60,800",4.41M,0.00%
6/12/2024,"61,100","60,800","61,900","60,500",7.83M,0.16%
5/12/2024,"61,000","58,400","61,200","58,100",8.62M,4.99%
4/12/2024,"58,100","59,400","59,800","58,000",8.86M,-2.84%
3/12/2024,"59,800","60,100","60,300","59,600",4.02M,-0.99%
2/12/2024,"60,400","60,700","60,700","59,900",2.79M,-0.17%
29/11/2024,"60,500","60,000","60,500","58,900",5.59M,0.83%
28/11/2024,"60,000","60,300","60,600","59,700",3.77M,-0.33%
27/11/2024,"60,200","59,900","60,900","59,500",4.94M,0.33%
26/11/2024,"60,000","59,300","60,100","59,000",4.37M,1.69%
25/11/2024,"59,000","58,800","59,300","58,600",4.57M,0.00%
22/11/2024,"59,000","58,700","59,400","58,400",5.80M,0.51%
21/11/2024,"58,700","57,000","58,900","56,500",8.17M,3.35%
20/11/2024,"56,800","57,200","58,100","56,000",9.75M,-1.22%
19/11/2024,"57,500","59,000","59,000","57,500",5.34M,-2.38%
18/11/2024,"58,900","59,900","59,900","57,100",12.08M,-1.67%
15/11/2024,"59,900","60,800","61,100","59,800",6.65M,-2.28%
14/11/2024,"61,300","61,500","61,600","60,700",4.48M,-0.97%
13/11/2024,"61,900","60,800","62,300","60,300",7.23M,1.81%
12/11/2024,"60,800","63,100","63,200","60,800",10.60M,-3.49%
11/11/2024,"63,000","64,500","65,000","62,900",9.39M,-3.08%
8/11/2024,"65,000","65,400","65,400","64,500",4.70M,-0.61%
7/11/2024,"65,400","65,800","65,800","64,800",5.24M,-0.30%
6/11/2024,"65,600","65,700","65,700","65,000",5.42M,0.00%
5/11/2024,"65,600","64,900","65,600","64,800",5.27M,0.77%
4/11/2024,"65,100","65,900","65,900","64,700",9.36M,-1.36%
1/11/2024,"66,000","65,900","66,100","65,500",21.33M,-0.75%
31/10/2024,"66,500","66,000","66,500","65,600",6.15M,0.76%
30/10/2024,"66,000","66,500","66,500","65,700",8.93M,-0.75%
29/10/2024,"66,500","65,600","66,500","65,400",9.54M,1.53%
28/10/2024,"65,500","65,500","65,600","64,900",3.96M,0.00%
25/10/2024,"65,500","65,400","66,000","65,000",4.95M,0.15%
24/10/2024,"65,400","65,400","66,000","64,900",4.64M,-0.46%
23/10/2024,"65,700","66,100","66,300","65,100",6.10M,-0.90%
22/10/2024,"66,300","66,300","66,800","65,500",9.78M,0.76%
21/10/2024,"65,800","65,300","66,000","64,900",4.33M,0.15%
18/10/2024,"65,700","65,900","66,100","65,200",6.16M,-0.15%
17/10/2024,"65,800","65,800","65,800","65,200",6.63M,0.46%
16/10/2024,"65,500","64,400","65,700","64,300",13.71M,1.71%
15/10/2024,"64,400","63,900","64,800","63,700",12.47M,1.26%
14/10/2024,"63,600","64,900","65,000","63,600",8.41M,-1.40%
11/10/2024,"64,500","65,000","65,300","63,500",10.01M,-0.77%
10/10/2024,"65,000","64,500","65,400","64,100",8.67M,1.25%
9/10/2024,"64,200","65,000","65,300","63,600",20.85M,-1.53%
8/10/2024,"65,200","66,700","66,700","65,000",11.01M,-1.66%
7/10/2024,"66,300","66,700","67,100","65,900",5.55M,-0.15%
4/10/2024,"66,400","66,500","66,800","66,200",5.27M,0.15%
3/10/2024,"66,300","67,400","67,400","65,800",14.74M,-1.63%
2/10/2024,"67,400","67,500","67,900","67,000",7.16M,-0.59%
1/10/2024,"67,800","68,300","68,700","67,800",10.00M,-0.44%
30/09/2024,"68,100","67,500","68,100","66,900",5.93M,0.89%
27/09/2024,"67,500","68,600","68,600","66,800",13.13M,-1.17%
26/09/2024,"68,300","68,800","69,500","68,300",7.18M,-0.58%
25/09/2024,"68,700","68,500","68,700","68,000",5.45M,0.88%
24/09/2024,"68,100","67,500","68,800","67,500",6.64M,1.19%
23/09/2024,"67,300","68,000","68,000","66,800",5.05M,-1.03%
20/09/2024,"68,000","68,600","68,700","68,000",5.02M,-0.29%
19/09/2024,"68,200","68,500","68,500","67,700",5.28M,0.00%
18/09/2024,"68,200","66,900","68,600","66,800",10.68M,2.10%
17/09/2024,"66,800","66,200","66,800","65,500",8.76M,1.06%
